장소명,주소,경도,위도,분류
시티렉스,서울 금천구 시흥대로 399 (독산동),126.897001948519,37.4693591753013,arcade
텐즈힐몰,서울 성동구 마장로 137 (상왕십리동),127.025053595952,37.5678250213491,arcade
고척공구상가,서울 구로구 중앙로3길 50 (고척동),126.860331722115,37.4999556964527,arcade
강남역지하상가,서울 강남구 강남대로 지하 396 (역삼동),127.028307900881,37.4981646510326,arcade
강남꽃도매상가,서울 서초구 신반포로 162 (반포동),127.002280487802,37.5048884433907,arcade
파미에스테이션,서울 서초구 신반포로 지하 188 (반포동),127.004949918697,37.5049267445237,arcade
강남터미널경부선지하상가,서울 서초구 신반포로 194 (반포동),127.006834366246,37.5064357442307,arcade
고투몰,서울 서초구 신반포로 지하 200 (잠원동),127.005051680109,37.5062203134857,arcade
미주상가 A동,서울 동대문구 왕산로 225 (청량리동),127.047209103701,37.5821227010138,arcade
청량리현대코아,서울 동대문구 왕산로37길 27 (청량리동),127.043774964319,37.5811086047157,arcade
에이피엠플레이스,서울 중구 을지로 276 (을지로7가),127.00843026396,37.5653191861991,arcade
메사,서울 중구 남대문시장10길 2 (회현동1가),126.979601196401,37.5603735967366,arcade
SFC몰,서울 중구 세종대로 136 (무교동),126.97825653257,37.5684232177354,arcade
세운청계상가,서울 중구 청계천로 160 (산림동),126.995365114169,37.5679798569884,arcade
장미종합상가,서울 송파구 올림픽로35길 124 (신천동),127.100709917003,37.5173453447287,arcade
공구상가,서울 중구 청계천로 110 (수표동),126.989903266022,37.5678261667443,arcade
숭례문수입상가,서울 중구 소월로 3 (남창동),126.976202582026,37.5593723134225,arcade
가든파이브 툴동,서울 송파구 충민로 10 (문정동),127.119106729654,37.4786173172251,arcade
롯데캐슬아이비상가,서울 영등포구 국제금융로 86 (여의도동),126.931800002781,37.5202061193308,arcade
엔터식스 파크에비뉴한양대점,서울 성동구 왕십리로 241 서울숲더샵 (행당동),127.04010502543,37.5571543304982,arcade
남대문 지하철수입상가,서울 중구 퇴계로 43 (남창동),126.977356233544,37.5582007935625,arcade
가락몰,서울 송파구 양재대로 932 (가락동),127.108713599026,37.4945376921828,arcade
누죤패션몰,서울 중구 을지로45길 62 (신당동),127.013008334406,37.5669477713142,arcade
apm,서울 중구 마장로 40 (신당동),127.014033422257,37.5677236816149,arcade
세운대림상가,서울 중구 을지로 157 (을지로4가),126.995451191045,37.5671458986322,arcade
관악프라자쇼핑센타,서울 관악구 관악로 212 (봉천동),126.955183549269,37.4836231380755,arcade
썬프라자,서울 영등포구 신길로 39 (대림동),126.907785020768,37.4959665730744,arcade
굿모닝시티,서울 중구 장충단로 247 (을지로6가),127.007358177138,37.5668021171335,arcade
하이브랜드,서울 서초구 매헌로 16 (양재동),127.036947909974,37.462467348157,arcade
선인상가,서울 용산구 새창로 181 (한강로2가),126.965178191154,37.5327172141732,arcade
우성상가,서울 양천구 지양로 78 (신월동),126.833571060858,37.5226595591182,arcade
영등포유통상가,서울 영등포구 영등포로 109 (당산동2가),126.893930266446,37.5224174427804,arcade
용산전자상가 안내센타,서울 용산구 청파로 125 (한강로2가),126.965427348582,37.5338877777626,arcade
유진상가,서울 서대문구 통일로 484 (홍제동),126.94304229044,37.5916315313704,arcade
중앙유통단지,서울 구로구 경인로53길 15 (구로동),126.876117278882,37.5020321024364,arcade
구로 기계공구상가단지,서울 구로구 구로중앙로 197 (구로동),126.877904822154,37.5039064323746,arcade
시흥산업용재유통센터,서울 금천구 시흥대로 97 (시흥동),126.901072369386,37.4446821230267,arcade
사운즈한남,서울 용산구 대사관로 35 (한남동),127.00214819989,37.5337501903567,arcade
은마종합상가,서울 강남구 삼성로 212 (대치동),127.065915414443,37.4996157705058,arcade
밀리오레,서울 중구 장충단로 263 (을지로6가),127.008472686741,37.5681156942942,arcade
국제전자센터,서울 서초구 효령로 304 (서초동),127.017803806463,37.4847315992014,arcade
헬리오시티상가,서울 송파구 송파대로 345 (가락동),127.102531804188,37.4976145695004,arcade
커먼그라운드,서울 광진구 아차산로 200 (자양동),127.065669226745,37.5410566332301,arcade
낙원악기상가,서울 종로구 삼일대로 428 (낙원동),126.987902476529,37.5727635233966,arcade
DDP패션몰,서울 중구 마장로 22 (신당동),127.012111462314,37.5672655578674,arcade
엔터식스 왕십리역점,"서울 성동구 왕십리광장로 17 지하1층, 1층 (행당동)",127.038394194396,37.5614417528647,arcade
신도림테크노마트,서울 구로구 새말로 97 (구로동),126.890227293528,37.5070438414784,arcade
세운전자상가,서울 종로구 청계천로 159 (장사동),126.995239727442,37.5692814302828,arcade
테크노마트,서울 광진구 광나루로56길 85 (구의동),127.095692162256,37.535725176732,arcade
엔터식스 상봉점,서울 중랑구 망우로 353 (상봉동),127.091624142481,37.5983328190955,arcade
