장소명,주소,경도,위도,분류
본다빈치뮤지엄 서울숲,서울 성동구 서울숲2길 32-14 갤러리아포레 G층 (성수동1가),127.042914714267,37.5456773286722,artmuseum
페이스갤러리,서울 용산구 이태원로 267 (한남동),127.001133061453,37.5384987479277,artmuseum
성북구립최만린미술관,서울 성북구 솔샘로7길 23 (정릉동),127.004288022173,37.6106597929108,artmuseum
금호미술관,서울 종로구 삼청로 18 (사간동),126.979912833772,37.5774667074193,artmuseum
상상톡톡미술관,서울 강북구 월계로 173 (번동),127.044324732036,37.6202544613023,artmuseum
성북구립미술관,서울 성북구 성북로 134 (성북동),126.994887077742,37.5948371972307,artmuseum
아르코미술관,서울 종로구 동숭길 3 (동숭동),127.003256182632,37.5805022887696,artmuseum
플랫폼엘 컨템포러리 아트센터,서울 강남구 언주로133길 11 (논현동),127.034381857383,37.5160551065386,artmuseum
에스파스루이비통 서울,서울 강남구 압구정로 454 4층 (청담동),127.046226247724,37.525612957811,artmuseum
경애갤러리,서울 강남구 언주로 844 윤당아트홀 지하 1층 (신사동),127.033729778984,37.5256551200052,artmuseum
성수미술관,서울 성동구 성수일로8길 39 지층 B02호 (성수동2가),127.054802213031,37.5457826923407,artmuseum
갤러리현대,서울 종로구 삼청로 14 (사간동),126.979823330741,37.5773056844787,artmuseum
타데우스 로팍 서울,서울 용산구 독서당로 122-1 2층 (한남동),127.012855222915,37.5368464299047,artmuseum
아트선재센터,서울 종로구 율곡로3길 87 (소격동),126.981839239613,37.5794635323506,artmuseum
한국미술관,서울 종로구 인사동길 12 대일빌딩 2층 (인사동),126.987230558854,37.5718961547884,artmuseum
슈페리어갤러리,서울 강남구 테헤란로 528 슈페리어타워 지하1층 (대치동),127.062000046367,37.5080952698916,artmuseum
종로구립 박노수미술관,서울 종로구 옥인1길 34 (옥인동),126.966818545949,37.5813191962491,artmuseum
일민미술관,서울 종로구 세종대로 152 (세종로),126.977657083792,37.5698677620456,artmuseum
예술의전당 한가람디자인미술관,서울 서초구 남부순환로 2406 본관 1층 (서초동),127.014215239186,37.4802401962069,artmuseum
겸재정선미술관,서울 강서구 양천로47길 36 (마곡동),126.838412024868,37.5722229700452,artmuseum
성곡미술관,서울 종로구 경희궁길 42 (신문로2가),126.96970364743,37.5735105141974,artmuseum
아라리오뮤지엄 인 스페이스,서울 종로구 율곡로 83 (원서동),126.988357552948,37.5777621971432,artmuseum
소마미술관,서울 송파구 위례성대로 51 (방이동),127.118184522722,37.5168648654617,artmuseum
사비나미술관,서울 은평구 진관1로 93 (진관동),126.929275690576,37.6301285705198,artmuseum
