장소명,주소,경도,위도,분류
나무늘보북카페,서울 노원구 공릉로 187 건설빌딩 2층 204~205호 (공릉동),127.078659800067,37.6264729309465,bookcafe
위지안,서울 마포구 고산길 6 위지안빌딩 2층 (노고산동),126.937745758946,37.5532178218498,bookcafe
북카페산책,서울 마포구 동교로 156-10 1층 (서교동),126.919415676193,37.5554776990457,bookcafe
카페 빈틈 m,서울 마포구 망원로7길 3-6 (망원동),126.905311734699,37.5577530605126,bookcafe
피스북스,서울 종로구 옥인3길 5-1 1층 (누상동),126.966495157786,37.580680120175,bookcafe
초콜릿책방,서울 서대문구 연희로5길 46-11 102호 (연희동),126.926880369176,37.5655502946246,bookcafe
파이키,서울 종로구 서순라길 81 파이키 (권농동),126.992335372886,37.5738513952861,bookcafe
늘,서울 영등포구 선유로55길 11 1층 (양평동4가),126.897869418375,37.5377906428336,bookcafe
일공공,서울 은평구 통일로 833-6 대덕타워 지하1층 (대조동),126.921526722137,37.6176853662818,bookcafe
타인 나자신,서울 마포구 토정로3길 5 3층 (합정동),126.914036635055,37.545842145383,bookcafe
자작나무숲북카페,서울 성북구 정릉로10길 107 1층 (정릉동),126.998580090538,37.6050608424459,bookcafe
달달한금요일,서울 용산구 원효로63길 27 지하1층 (용문동),126.963524826628,37.537959998415,bookcafe
창포원북카페 비상,서울 도봉구 마들로 916 방문자센터 2층 (도봉동),127.047162261964,37.6895391740107,bookcafe
승룡이네집,서울 강동구 천호대로168가길 65-29 (성내동),127.128743673133,37.5350211731328,bookcafe
라운징북스,서울 송파구 마천로10길 5 1층 (오금동),127.12873313333,37.5068305335366,bookcafe
커피랑도서관 가락센터점,서울 송파구 송이로 83 우송빌딩 5층 (가락동),127.120457077453,37.4986104726003,bookcafe
책그리고,서울 서초구 방배천로 132 (방배동),126.985589781902,37.4876365519733,bookcafe
카툰공감 노원역점,서울 노원구 상계로 65 현성빌딩 지하1층 (상계동),127.062249590194,37.6563543249568,bookcafe
이제마스터디클럽 홍대점,서울 마포구 양화로18안길 22 4층 (동교동),126.925815364934,37.5567732928865,bookcafe
만리서재,서울 용산구 청파로93길 42 (서계동),126.966696031349,37.553903753324,bookcafe
카페느티,서울 종로구 경희궁길 9 (신문로2가),126.971762506308,37.5712051080366,bookcafe
북카페 파오,서울 서대문구 이화여대길 34 신흥빌딩 3층 (대현동),126.945944197486,37.558453141276,bookcafe
북커스,서울 종로구 평창30길 10 (평창동),126.975142725198,37.6109243962339,bookcafe
자상한시간,서울 관악구 중앙길 59 1층 (봉천동),126.951621898906,37.4848385453169,bookcafe
일룸 엄마의서재,서울 서대문구 연희로 148 1층 102호 (연희동),126.934460205946,37.5702758725259,bookcafe
청맥살롱,서울 동작구 서달로 161-1 2층 (흑석동),126.962259192031,37.50781349616,bookcafe
책다방 위숨,"서울 서대문구 연세로9길 34-1 2,3층 (창천동)",126.934848961077,37.5586617071977,bookcafe
소셜팩토리 홍대1호점,서울 마포구 와우산로21길 19-19 (서교동),126.922661038233,37.5515329587488,bookcafe
북카페레벤,서울 강남구 학동로 116 (논현동),127.023662005452,37.5115871388894,bookcafe
북앤레스트,서울 강남구 삼성로104길 22 1층 (삼성동),127.056586087827,37.5109410172372,bookcafe
디어라이프카페,서울 마포구 양화로12길 16-9 북앤빌딩 지하1층 (서교동),126.918623792034,37.5516359324413,bookcafe
산다미아노,서울 중구 정동길 9 (정동),126.970382993414,37.5677208007304,bookcafe
카페큐브,서울 구로구 경인로 662 디큐브시티 15층 (신도림동),126.888212953215,37.5081230677129,bookcafe
책과삶,서울 영등포구 당산로27길 16 (당산동3가),126.894762917152,37.5252722919246,bookcafe
카페데코믹스 홍대점,서울 마포구 어울마당로 96 3층 (서교동),126.9222947931,37.5535290592888,bookcafe
알키미스타,서울 은평구 응암로9길 24 1층 (응암동),126.913893916158,37.5878531253785,bookcafe
카페마당,서울 강남구 도산대로45길 7 메종에르메스 지하 1층 (신사동),127.035345481693,37.5227858559528,bookcafe
라이프커피,서울 강남구 선릉로 741 1층 (논현동),127.039856877828,37.5204674009895,bookcafe
소전서림,서울 강남구 영동대로138길 23 1층 (청담동),127.056052214369,37.5236274893374,bookcafe
카페꼼마 합정점,서울 마포구 포은로 49 (합정동),126.906760728614,37.551946564453,bookcafe
타셴,서울 종로구 동숭길 113 정보빌딩 1층 (동숭동),127.003577707596,37.5829715425845,bookcafe
와인북카페,서울 강남구 논현로149길 5 (논현동),127.027999205134,37.518537074301,bookcafe
북파크,"서울 용산구 이태원로 294 블루스퀘어 2,3층 (한남동)",127.00248525561,37.5408694385607,bookcafe
더숲 초소책방,서울 종로구 인왕산로 172 (옥인동),126.964277654295,37.5859537047415,bookcafe
인덱스숍,서울 광진구 아차산로 200 커먼그라운드 3층 (자양동),127.065669226745,37.5410566332301,bookcafe
1984,서울 마포구 동교로 194 혜원빌딩 1층 (동교동),126.922886096614,37.5573847248586,bookcafe
당인리책발전소,서울 마포구 월드컵로14길 10-8 1층 (서교동),126.911012870539,37.5558771139365,bookcafe
