장소명,주소,경도,위도,분류
이후북스,서울 마포구 망원로4길 24 2층 (망원동),126.901941427163,37.5556056661003,bookstore
서울의 시간을 그리다,서울 서대문구 독립문로 31-6 1층 (옥천동),126.961610749742,37.5694521500705,bookstore
목동문고,서울 양천구 목동서로 400 목동10단지아파트 상가 지하 1층 (신정동),126.857838508873,37.5150078728547,bookstore
풀무질,서울 종로구 성균관로 19 지하1층 (명륜2가),126.997331131799,37.5843923430057,bookstore
글벗서점,"서울 마포구 신촌로 48 지층, 1층, 2층 (동교동)",126.931319363016,37.5568368094071,bookstore
고시책사랑,서울 관악구 호암로26길 27 (신림동),126.935236342442,37.4706006982035,bookstore
서점극장 라블레,서울 마포구 백범로25길 5 1층 (염리동),126.946297710376,37.5463850650067,bookstore
노원문고 중계점,서울 노원구 중계로 206 세일학원빌딩 지하1층 (중계동),127.077525686582,37.6508417136906,bookstore
낫저스트북스,서울 성동구 성수일로1길 10-1 1층 (성수동1가),127.047570709894,37.5418946811932,bookstore
별책부록,서울 용산구 신흥로16길 7 1층 (용산동2가),126.986997302668,37.5449311756604,bookstore
노원문고 제5매장,서울 노원구 상계로 59 동익빌딩 지하1층 (상계동),127.06151518884,37.6561602782805,bookstore
월드문고,서울 성북구 동소문로 59 지하 (동소문동4가),127.011994680288,37.5914550057072,bookstore
모아드림무게로헌책방,서울 양천구 남부순환로 560 (신월동),126.838358098681,37.5186299888452,bookstore
역사책방,서울 종로구 자하문로10길 24 1층 (통의동),126.972846720343,37.5792799858096,bookstore
부쿠서점,서울 종로구 인사동길 49 안녕인사동 4층 (관훈동),126.983552182559,37.5744668688197,bookstore
가가77페이지,서울 마포구 망원로 74-1 지하1층 (망원동),126.905179261937,37.557261280131,bookstore
명동문고 명동성당본점,서울 중구 명동길 66 명동성당 카톨릭회관 신관 지하1층 (명동2가),126.986033616613,37.5639294149969,bookstore
북바이북 광화문점,서울 종로구 새문안로5길 19 로얄빌딩 1층 (당주동),126.974293312227,37.5720295562121,bookstore
홍문관서적,서울 동작구 노량진로16길 25 (노량진1동),126.943998943313,37.5125442726531,bookstore
교보서적,서울 강서구 양천로 87 (방화동),126.813650452864,37.5736086090089,bookstore
이라선,서울 종로구 효자로7길 5 1층 (통의동),126.973463064976,37.5788692727066,bookstore
아크앤북 신촌점,서울 서대문구 연세로 13 현대백화점 유플렉스 12층 (창천동),126.936559696179,37.5567378385686,bookstore
늘벗서점,서울 관악구 신림로 83 지하 1층 (신림동),126.940123158543,37.4703411715556,bookstore
코믹갤러리,서울 광진구 아차산로 208 지하1층 (자양동),127.066489240108,37.5410609496687,bookstore
성신북스,서울 성북구 동소문로 111 지하 (동선동4가),127.017284229596,37.593398510143,bookstore
북새통문고,서울 마포구 양화로 188 AK& 5층 (동교동),126.926498328277,37.5577458058734,bookstore
고래할인문고,서울 용산구 한강대로 307 (갈월동),126.971537541167,37.5457276475725,bookstore
스토리지북앤필름,서울 용산구 신흥로 115-1 1층 (용산동2가),126.983136751452,37.5447456222048,bookstore
서적백화점,서울 강남구 선릉로 42 (개포동),127.060037965137,37.4833860860284,bookstore
서점리스본&포르투,서울 마포구 성미산로23길 60 (연남동),126.920070237613,37.566103686977,bookstore
반디앤루니스 문래동점,서울 영등포구 문래로28길 25 세미콜론문래 N타워 로비층 (문래동3가),126.899975370783,37.5163887012653,bookstore
노량진제일서점,서울 동작구 노량진로16길 30 2층 (노량진동),126.943937488626,37.5122909712444,bookstore
종로서적 용산역사점,서울 용산구 한강대로23길 55 (한강로3가),126.964741503485,37.5297718014452,bookstore
법문서적,서울 관악구 신림로23길 16 일성트루엘 오피스텔 1층 (신림동),126.934476782389,37.4704811658789,bookstore
신고서점,"서울 도봉구 삼양로144길 21 지하1층, 1~4층 (쌍문동)",127.014133416379,37.6517554306214,bookstore
코믹존,서울 관악구 신림로 300 (신림동),126.930310668665,37.4811405195858,bookstore
땡스북스,서울 마포구 양화로6길 57-6 1층 (서교동),126.917426087103,37.5488113725673,bookstore
연신내문고,서울 은평구 통일로 861 범일빌딩 지하1층 (갈현동),126.920193923417,37.619785035254,bookstore
노들서가,"서울 용산구 이촌동 302-146 1, 2층",126.957700951859,37.517883375648,bookstore
홍익문고,서울 서대문구 연세로 2 (창천동),126.937043755972,37.5557853830354,bookstore
그래픽,서울 용산구 회나무로39길 33 (이태원동),126.993591556374,37.5409328113161,bookstore
유어마인드,서울 서대문구 연희로11라길 10-6 2층 (연희동),126.930303483303,37.5683973491036,bookstore
어쩌다산책,서울 종로구 동숭길 101 지하1층 (동숭동),127.004020011221,37.5824614759455,bookstore
홍길동중고서점,서울 종로구 종로14길 4 (관철동),126.98671553503,37.5698255207023,bookstore
최인아책방,서울 강남구 선릉로 521 4층 (역삼동),127.047909081076,37.5060514084128,bookstore
노원문고 본점,서울 노원구 동일로 1390 (상계동),127.061503960155,37.6527140266032,bookstore
서울책보고,서울 송파구 신천동 14,127.102981769104,37.5223919742552,bookstore
북스리브로 상봉점,서울 중랑구 상봉로 131 상봉 듀오트리스 B1 (상봉동),127.092177640813,37.5974066200134,bookstore
채그로,서울 마포구 마포대로4다길 31 아리수빌딩 8층 (마포동),126.944258643662,37.5356515913359,bookstore
종로서적 종로본점,서울 종로구 종로 51 종로타워 지하2층 (공평동),126.983611410428,37.5707451369668,bookstore
