장소명,주소,경도,위도,분류
북한산 구조대야영장09,서울 도봉구 도봉동,127.021495626589,37.6873960128039,camping
노을공원 A,서울 마포구 하늘공원로 108 (상암동),126.88007274474,37.5696850758702,camping
서울숲 여름캠핑장,서울 성동구 성수동1가 719,127.040266962971,37.5428180389743,camping
북한산 석굴야영장,서울 도봉구 도봉동,127.021495626589,37.6873960128039,camping
보라매공원 피크닉장,서울 동작구 신대방동 441-15,126.919671665909,37.4904896530162,camping
미니캠프,서울 성동구 광나루로6길 48 (성수동2가),127.064268415616,37.5458084635161,camping
판다카라반,서울 성동구 성수일로 10 1104호 (성수동1가),127.048828114958,37.541278064379,camping
서남물 재생센터공원 피크닉장,서울 강서구 양천로 177 (마곡동),126.822791122936,37.5743023936107,camping
서울숲 캠핑장,서울 성동구 성수동1가 678-1,127.037402124266,37.5446317017926,camping
캠핑서치,서울 구로구 디지털로 272 301호 (구로동),126.894429926307,37.4825015514453,camping
어린이대공원 숲속캠핑체험장,서울 광진구 능동로 216 (능동),127.078772391405,37.5520117024951,camping
한강여름캠핑장 뚝섬캠핑장,서울 광진구 자양동 427-12,127.071279391105,37.5291646775438,camping
씰링캠프,서울 마포구 와우산로 108 5층 (창전동),126.925426279908,37.5531271613033,camping
글램핑과카라반,서울 서초구 서초대로73길 42 강남역리가스퀘어 301호 (서초동),127.024441102142,37.5012257817168,camping
디옥상,서울 노원구 덕릉로 787 성신빌딩 5층 (상계동),127.078695239621,37.6674824289859,camping
난지캠핑장 피크닉지역,서울 마포구 한강난지로 28 (상암동),126.872592546411,37.5701840497963,camping
포레스트파크,서울 광진구 워커힐로 177 (광장동),127.11170683593,37.5586287308609,camping
한강여름캠핑장 여의도캠핑장,서울 영등포구 여의도동 84-9,126.928686496763,37.5312466908119,camping
양화한강공원 캠핑장,서울 영등포구 양화동 1-4,126.893689005956,37.5441549473011,camping
천왕산가족캠핑장,서울 구로구 연동로12길 149 (항동),126.831392546,37.4789949392226,camping
중랑캠핑장,서울 중랑구 망우동 79,127.11003124758,37.6044093195962,camping
노을공원 노을캠핑장,서울 마포구 상암동 478-1,126.873348321169,37.5743474576143,camping
우이동가족캠핑장,서울 강북구 우이동 316,127.011431097535,37.6658501424476,camping
청계산장글램핑,서울 서초구 청계산로 140-94 (원지동),127.046426134566,37.4483077409346,camping
초안산공원 캠핑장,서울 노원구 마들로5길 89-27 (월계동),127.049985684702,37.6428928937821,camping
강동그린웨이 가족캠핑장,서울 강동구 천호대로206길 87 일자산자연공원내 (둔촌동),127.154088982849,37.5358730815675,camping
무수아취,서울 도봉구 도봉로169길 249 (도봉동),127.033087377546,37.6763876106143,camping
난지캠핑장,서울 마포구 한강난지로 22 한강시민공원 (상암동),126.872260530671,37.5703905594201,camping
북한산 구조대야영장09,서울 도봉구 도봉동,127.021495626589,37.6873960128039,camping
노을공원 A,서울 마포구 하늘공원로 108 (상암동),126.88007274474,37.5696850758702,camping
서울숲 여름캠핑장,서울 성동구 성수동1가 719,127.040266962971,37.5428180389743,camping
북한산 석굴야영장,서울 도봉구 도봉동,127.021495626589,37.6873960128039,camping
보라매공원 피크닉장,서울 동작구 신대방동 441-15,126.919671665909,37.4904896530162,camping
