장소명,주소,경도,위도,분류
코알라클라이밍짐,서울 마포구 월드컵북로 396 누리꿈스퀘어 디지털파빌리온 B1040호 (상암동),126.889782954548,37.5794283422818,climbing
TCC더코아클라이밍,서울 종로구 삼일대로 386 시네코아빌딩 9층 (관철동),126.988079109583,37.5689505293286,climbing
더클라임짐 연남점,서울 마포구 양화로 186 3층 (동교동),126.92589313527,37.5576684824211,climbing
스파이더스 클라이밍센터,서울 노원구 동일로174길 37-8 제일빌딩 지하1층 (공릉동),127.077650711047,37.6195200512181,climbing
위클리클라이밍,서울 구로구 경인로47길 68 (고척동),126.864780877861,37.5019054226067,climbing
클라임이모션,서울 강남구 논현로76길 27 (역삼동),127.040978946123,37.4977565635439,climbing
어거스트클라이밍,서울 금천구 디지털로 121 에이스가산타워 20층 2009호 (가산동),126.880098704605,37.4761399099716,climbing
강서한강공원 인공암벽장,서울 강서구 방화동 73-6,126.822575434783,37.5834789530379,climbing
정지현클라이밍짐,서울 관악구 봉천로 462 (봉천동),126.951196894617,37.482036323968,climbing
성북K클라이밍,서울 성북구 보문로 90-2 4층 (보문동4가),127.020734998539,37.5834116228384,climbing
락스타클라이밍,서울 송파구 백제고분로 435 예스빌딩 지하 1층 (송파동),127.111536300723,37.5097958390421,climbing
피커스 종로점,서울 종로구 돈화문로5가길 1 피카디리플러스 지하4층 (돈의동),126.991230294263,37.5710275098022,climbing
써니사이드클라이밍,서울 은평구 은평로 160 경향렉스빌아파트 상가 206호 (응암동),126.925702377167,37.6007900164073,climbing
도봉파워클라이밍센터,서울 도봉구 도봉로133길 42 4층 (쌍문동),127.037362598262,37.6580113772419,climbing
루트클라이밍,서울 송파구 양재대로71길 5-14 지하1층 (방이동),127.125525154925,37.5098615406374,climbing
버티고클라이밍짐,서울 광진구 천호대로 611 파크웨이빌딩 지하1층 (중곡동),127.085728784167,37.5551274621808,climbing
클라이밍파크 한티점,서울 강남구 선릉로 324 지하3층 (대치동),127.052094163626,37.4985303841214,climbing
은평인공암벽장,서울 은평구 통일로 1078 (진관동),126.917161248145,37.6388385309763,climbing
닷클라이밍짐,서울 송파구 법원로8길 9 (문정동),127.121807328614,37.4843276782556,climbing
홍대클라이밍,서울 마포구 동교로23길 105 순선빌딩 지하 (성산동),126.917400127088,37.5597217143411,climbing
비블럭클라이밍 강남점,서울 강남구 논현로 563 언주타워 지하1층 (역삼동),127.034023961402,37.5063288679695,climbing
알레클라이밍 혜화점,서울 종로구 창경궁로34길 18-5 토가빌딩 지하2층 (명륜2가),127.000806442921,37.584120180365,climbing
서울클라이밍센터,서울 동대문구 무학로 130 (용두동),127.030784426228,37.5758696424694,climbing
목동클라이밍센터,서울 양천구 공항대로 596 (목동),126.87090367569,37.547285369971,climbing
V10클라이밍 장한평점,서울 동대문구 장한로2길 63 호종빌딩 2층 (장안동),127.068807354174,37.5618402416109,climbing
클라이밍파크,서울 강남구 강남대로 468 충림빌딩 지하3층 (역삼동),127.025144947963,37.5041550738018,climbing
산타클라이밍짐,서울 동대문구 난계로30길 23 마리아바이오텍빌딩 지하1층 (신설동),127.024775145635,37.574324499321,climbing
훅클라이밍,서울 성동구 성수일로12길 34 3층 (성수동2가),127.054447732155,37.5475565627229,climbing
손상원 클라이밍짐 잠실점,서울 송파구 백제고분로 224 지하1층 (삼전동),127.091394583067,37.5031313787804,climbing
볼더생활,서울 동작구 동작대로29길 69 7층 (사당동),126.978107297965,37.4884520759924,climbing
드림캐처클라이밍짐,서울 노원구 상계로5길 32 금호프라자 7층 (상계동),127.062842474896,37.6571152502969,climbing
야크돔,서울 강북구 삼양로173길 52 (우이동),127.009700504329,37.6624212538561,climbing
더플라스틱클라이밍 염창점,서울 강서구 공항대로81길 27 1층 (염창동),126.876191593939,37.5485045873162,climbing
훅클라이밍 왕십리점,서울 성동구 고산자로6길 40 2층 (행당동),127.035482520519,37.5582206987955,climbing
더클라임 마곡점,서울 강서구 마곡동로 62 사이언스타워 7층 (마곡동),126.833890184435,37.5605537644679,climbing
서울시산악문화체험센터,서울 마포구 하늘공원로 112 (상암동),126.879941595556,37.5693758111935,climbing
서울볼더스컴퍼니,서울 영등포구 양평로28마길 7 2층 (양평동6가),126.890991788783,37.5420738832634,climbing
서울숲클라이밍,서울 성동구 성수일로 19 유한타워 지하2층 (성수동1가),127.048565268661,37.5423334235585,climbing
더클라임 양재점,서울 강남구 남부순환로 2615 지하1층 (도곡동),127.035883711966,37.4851852937745,climbing
서종국클라이밍짐,서울 영등포구 선유로53길 6 문화빌딩 1층 (양평동4가),126.897713262989,37.5372203548701,climbing
보람애 스포츠클라이밍,서울 관악구 관천로 81 (신사동),126.923391290571,37.4857146201153,climbing
에이스클라이밍센터,서울 구로구 가마산로27길 14 신원빌딩 지하1층 (구로동),126.891852633222,37.4977293058869,climbing
더클라임 홍대점,서울 마포구 양화로 125 2층 (서교동),126.920309389675,37.5547493986687,climbing
더클라임 서울대점,서울 관악구 남부순환로 1801 지하1층 (봉천동),126.950381855439,37.481822085014,climbing
볼더프렌즈 클라이밍,서울 마포구 홍익로 25 지하3층 (서교동),126.921965798065,37.5544056031357,climbing
영등포스포츠클라이밍경기장,서울 영등포구 도신로15길 11 (도림동),126.897577918044,37.5062038596059,climbing
더클라임 신림점,서울 관악구 신원로 35 5층 (신림동),126.929023376476,37.4823122359729,climbing
알레클라이밍,서울 영등포구 영등포로33길 14 스위트빌 B01호 (영등포동6가),126.902851854546,37.5215466406887,climbing
클라임웍스,서울 영등포구 버드나루로 85 훼미리하우스117 지하 1층 (영등포동7가),126.908857826436,37.525747305266,climbing
더플라스틱클라이밍,서울 영등포구 도림로 423 (문래동2가),126.895719637654,37.5136490336161,climbing
