장소명,주소,경도,위도,분류
서울아산병원 현대백화점 멀티플라자,서울 송파구 올림픽로43길 88 신관 지하1층 (풍납동),127.109524002613,37.5251574809539,complexshop
더샵스앳센터필드,서울 강남구 테헤란로 231 지하2층~2층 (역삼동),127.041356540268,37.5028813541774,complexshop
라시따델라모다,서울 서초구 매헌로 16 (양재동),127.036947909974,37.462467348157,complexshop
타임스트림,서울 관악구 신림로 330 (신림동),126.930234545397,37.4838513393186,complexshop
메세나폴리스몰,서울 마포구 양화로 45 (서교동),126.91395024016,37.5515008030203,complexshop
신세계센트럴시티,서울 서초구 신반포로 176 (반포동),127.002413006799,37.5039351769908,complexshop
눈스퀘어,서울 중구 명동길 14 (명동2가),126.98288772495,37.5634116488196,complexshop
안녕인사동,서울 종로구 인사동길 49 (관훈동),126.983552182559,37.5744668688197,complexshop
롯데월드타워&롯데월드몰,서울 송파구 올림픽로 300 (신천동),127.104446890835,37.5137519612953,complexshop
롯데몰 은평점,서울 은평구 통일로 1050 (진관동),126.917900261732,37.6375366740938,complexshop
롯데몰 김포공항점,서울 강서구 하늘길 지하 77 (방화동),126.801278424065,37.562313207852,complexshop
가든파이브,서울 송파구 충민로 66 (문정동),127.124961768886,37.4776148442516,complexshop
스타필드 코엑스몰,서울 강남구 영동대로 513 (삼성동),127.059159043842,37.5118239121138,complexshop
IFC몰,서울 영등포구 국제금융로 10 (여의도동),126.924876706923,37.5251775245928,complexshop
타임스퀘어,서울 영등포구 영중로 15 (영등포동4가),126.903715993779,37.5172332566615,complexshop
