장소명,주소,경도,위도,분류
NC 디파트먼트스토어,서울 은평구 불광로 20 (대조동),126.928938477038,37.6097357749976,department
행복한백화점 목동점,서울 양천구 목동동로 309 (목동),126.876008647904,37.5291435349019,department
건영옴니백화점,서울 노원구 섬밭로 258 (중계동),127.064915087375,37.6391097783726,department
AK& 홍대,서울 마포구 양화로 188 (동교동),126.926498328277,37.5577458058734,department
롯데영플라자 본점,서울 중구 남대문로 67 (소공동),126.981530160666,37.5634867675479,department
캉카스백화점 강남메종,서울 강남구 봉은사로 455 (삼성동),127.049262151499,37.5121820082985,department
아이파크몰,서울 용산구 한강대로23길 55 (한강로3가),126.964741503485,37.5297718014452,department
갤러리아백화점 WEST점,서울 강남구 압구정로 343 (압구정동),127.040052671773,37.5284754434309,department
갤러리아백화점 EAST점,서울 강남구 압구정로 407 (압구정동),127.041831709947,37.527918187812,department
현대백화점유플렉스 디큐브시티,"서울 구로구 경인로 662 현대백화점 디큐브시티 지하1층, 1, 2층 (신도림동)",126.888212953215,37.5081230677129,department
NC백화점 신구로점,서울 구로구 구로중앙로 152 (구로동),126.882773011925,37.5011601442131,department
현대백화점유플렉스 목동점,서울 양천구 목동동로 257 (목동),126.874619136454,37.5273217750941,department
NC백화점 송파점,서울 송파구 충민로 66 (문정동),127.124961768886,37.4776148442516,department
롯데백화점 캐슬플라자,서울 송파구 올림픽로 269 (신천동),127.100611434725,37.5144273491608,department
NC백화점 불광점,서울 은평구 불광로 20 (대조동),126.928938477038,37.6097357749976,department
NC백화점 강서점,서울 강서구 강서로56길 17 (등촌동),126.840498784915,37.559933531546,department
더현대서울,서울 영등포구 여의대로 108 (여의도동),126.929112756574,37.5251913154781,department
신세계백화점 본점 신관,서울 중구 퇴계로 77 (충무로1가),126.980776129884,37.5603599185351,department
현대백화점 미아점,서울 성북구 동소문로 315 (길음동),127.028743635895,37.6083998425637,department
현대백화점유플렉스 신촌점,서울 서대문구 연세로 13 (창천동),126.936559696179,37.5567378385686,department
현대백화점 천호점,서울 강동구 천호대로 1005 (천호동),127.124440988259,37.5389750482546,department
현대백화점 디큐브시티점,서울 구로구 경인로 662 (신도림동),126.888212953215,37.5081230677129,department
현대백화점 신촌점,서울 서대문구 신촌로 83 (창천동),126.935844876509,37.5560830579515,department
현대백화점 목동점,서울 양천구 목동동로 257 (목동),126.874619136454,37.5273217750941,department
현대백화점 압구정본점,서울 강남구 압구정로 165 (압구정동),127.027468526838,37.5273661232786,department
현대백화점 무역센터점,서울 강남구 테헤란로 517 (삼성동),127.059765116537,37.5086151302204,department
롯데에비뉴엘 본점,서울 중구 남대문로 73 (소공동),126.981638076651,37.5642046081718,department
신세계백화점 타임스퀘어점,서울 영등포구 영중로 9 (영등포동4가),126.905567071705,37.5171899712591,department
신세계백화점 본점,서울 중구 소공로 63 (충무로1가),126.980979034083,37.560919019936,department
롯데백화점 건대스타시티점,서울 광진구 능동로 92 (자양동),127.071214413664,37.5389997704376,department
신세계백화점 강남점,서울 서초구 신반포로 176 (반포동),127.002413006799,37.5039351769908,department
롯데백화점 관악점,서울 관악구 봉천로 209 (봉천동),126.924981674031,37.4904954867064,department
롯데백화점 미아점,서울 강북구 도봉로 62 (미아동),127.030517678336,37.6145929759749,department
롯데에비뉴엘 잠실점,서울 송파구 올림픽로 300 (신천동),127.104446890835,37.5137519612953,department
롯데백화점 청량리점,서울 동대문구 왕산로 214 (전농동),127.05114707633,37.5841961381161,department
롯데백화점 김포공항점,서울 강서구 하늘길 38 (방화동),126.80296035927,37.5713698504776,department
롯데백화점 강남점,서울 강남구 도곡로 401 (대치동),127.053254695846,37.496979324799,department
롯데백화점 영등포점,서울 영등포구 경인로 846 (영등포동),126.907665995469,37.5156680341198,department
롯데백화점 노원점,서울 노원구 동일로 1414 (상계동),127.061391730931,37.6552787315469,department
롯데백화점 잠실점,서울 송파구 올림픽로 240 (잠실동),127.098141751177,37.5113096112036,department
롯데백화점 본점,서울 중구 남대문로 81 (소공동),126.981730421825,37.5647299033135,department
