장소명,주소,경도,위도,분류
선아트스페이스,서울 종로구 삼청로 75-1 4층(갤러리-B1) (팔판동),126.981452406665,37.5821832119401,handmade
초안산 도자기체험장,서울 노원구 덕릉로60타길 23 (월계동),127.044429431668,37.6340187942865,handmade
아트뮤제,서울 강남구 역삼로 424 진영빌딩 지하 1층 (대치동),127.053449647739,37.5010950329426,handmade
더 트리니티 갤러리,서울 용산구 장문로 36 (동빙고동),126.994291498195,37.5277420142397,handmade
팅클유,서울 마포구 성미산로26길 33 (연남동),126.923265303566,37.562506868127,handmade
리만머핀,서울 용산구 이태원로 213 1층 (한남동),126.997591083498,37.5350171727459,handmade
중앙도재,서울 서대문구 연희로28길 21 1층 (연희동),126.936803578379,37.574704368826,handmade
위아트 강남점,서울 서초구 남부순환로 2311-1 덕윤빌딩 1층 (방배동),127.004145925015,37.476524765196,handmade
플라비,서울 마포구 와우산로27길 23 (서교동),126.926960375475,37.5542062541213,handmade
구구갤러리,서울 양천구 목동중앙서로9길 30 2층 (목동),126.866664342561,37.5336790835347,handmade
아트비트갤러리,서울 종로구 율곡로3길 74-13 (화동),126.982976288418,37.5790954655594,handmade
갤러리 한옥,서울 종로구 북촌로11길 4 (가회동),126.984778086058,37.5815116365148,handmade
화방스토리,서울 구로구 경인로 393-7 일이삼전자타운 2동 1층 82호 (고척동),126.86304887653,37.4974421887122,handmade
갤러리JJ,서울 강남구 논현로 745 앙드레김빌딩 2층 (논현동),127.028386659601,37.5183090279876,handmade
잠실화방미술센타,서울 송파구 가락로 145 (송파1동),127.11174859389,37.5026611225741,handmade
갤러리 에이치오엠,서울 종로구 삼청로 124-1 (삼청동),126.981844102035,37.5864793886794,handmade
앵콜스,서울 강남구 도곡로28길 8 (도곡동),127.042114305173,37.4920702704886,handmade
갤러리브레송,서울 중구 퇴계로 163 지하1층 (충무로2가),126.989953477153,37.5614271155506,handmade
프린트베이커리 삼청플래그십스토어,서울 종로구 삼청로 52 1층 (소격동),126.980378325353,37.5805408872319,handmade
갤러리마롱,서울 종로구 북촌로 143-6 (삼청동),126.98275199004,37.5870817484472,handmade
리네아,서울 강남구 논현로26길 42-12 1층 (도곡동),127.045902698738,37.4831231117864,handmade
니아벡,서울 광진구 자양로53길 15 1층 (구의동),127.09309888743,37.5541762841363,handmade
세일화방,서울 마포구 와우산로 125 1층 (서교동),126.927509731411,37.5535996806241,handmade
사이아트스페이스,서울 종로구 윤보선길 28 (안국동),126.983976072405,37.5773517313258,handmade
향기억,서울 강남구 선릉로157길 23 (신사동),127.037944716693,37.5261064144049,handmade
어반플루토,서울 영등포구 양평로22나길 3-2 2층 (양평동5가),126.893998690938,37.5388167142759,handmade
예문공예,서울 중구 남대문시장4길 3 남대문시장 중앙상가 C동 2층 25호 (남창동),126.977721011283,37.5600792616337,handmade
신한문기사,서울 중구 소월로 3 (남창동),126.976202582026,37.5593723134225,handmade
액자마을,서울 중구 남대문시장4길 9 대도종합상가 D동 2층 140호 (남창동),126.977673598289,37.5596678574699,handmade
노송공예,서울 중구 남대문시장4길 9 (남창동),126.977673598289,37.5596678574699,handmade
벽과공간,서울 중구 소공로 지하 58 (충무로1가),126.981847764291,37.5606668775872,handmade
수집뱅크코리아회현점,서울 중구 소공로 지하 58 (충무로1가),126.981847764291,37.5606668775872,handmade
현대 화랑액자&십자수,서울 중구 남대문로 12 남대문로지하쇼핑센터 지하1층 88 (남대문로4가),126.977215627006,37.5605624599146,handmade
파스텔크래프트,서울 중구 남대문시장길 25-3 (남대문로4가),126.977211375465,37.5604004598593,handmade
대도지물,서울 중구 남대문시장길 15 (남대문로4가),126.976822643401,37.5602579365819,handmade
석산도재,서울 마포구 희우정로 82-1 (망원동),126.903461698512,37.5532283756696,handmade
아씨 방앗간,서울 종로구 돈화문로11다길 47 (익선동),126.989562530244,37.5737020680478,handmade
가죽공방헤비츠,서울 성북구 고려대로7길 46 1층 (안암동1가),127.020279972428,37.5879569412987,handmade
한양화방,서울 광진구 능동로 170 (화양동),127.073721448599,37.54566932204,handmade
서울화방,서울 광진구 자양로 179 (구의동),127.084425087787,37.5437381611033,handmade
갤러리1898,서울 중구 명동길 74 명동성당 카톨릭회관 신관 지하1층 B107호 (명동2가),126.986775823267,37.5636758699882,handmade
수목금토,서울 강남구 강남대로136길 63 (논현동),127.025444662828,37.5145162029857,handmade
반지만들기카페 대학로본점,서울 종로구 대학로14길 18-2 동선빌딩 2층 (혜화동),127.002680515512,37.5840003205803,handmade
플라비,서울 송파구 송파대로48길 20 지하1층 (송파동),127.106439018949,37.5093917565243,handmade
그림제작소,서울 송파구 석촌호수로 290 성우빌딩 3층 301호 (송파동),127.107437322354,37.5111625872862,handmade
노블레스컬렉션,서울 강남구 선릉로162길 13 노블레스빌딩 1층 (청담동),127.041678160733,37.5270519288103,handmade
하이엔드코리아,서울 종로구 인사동길 62-5 충원빌딩 1층 (관훈동),126.983856931171,37.5754764753901,handmade
선갤러리,서울 종로구 인사동5길 8 (인사동),126.985721883088,37.5729226658133,handmade
갤러리박,"서울 용산구 한남대로40길 19 1층, 지하1층 (한남동)",127.003200910809,37.5428868498054,handmade
스페이스나인,서울 영등포구 경인로 739 2층 (문래동2가),126.895521827941,37.5130667203285,handmade
푸에스토 갤러리,서울 종로구 성균관로 92 (명륜1가),126.998762107984,37.5897525530897,handmade
조형갤러리,서울 종로구 인사동5길 29 태화빌딩 지하1층 (인사동),126.984841944146,37.57198777376,handmade
아로마인드,서울 종로구 북촌로5길 19-7 (재동),126.984216598628,37.5791387955236,handmade
갤러리아리수,서울 종로구 인사동11길 13 지하1~3층 (관훈동),126.985570242096,37.5709202758265,handmade
서울여성공예센터 더아리움,서울 노원구 동일로174길 27 (공릉동),127.076936195632,37.6201739154268,handmade
갤러리비선재,서울 용산구 유엔빌리지3길 54-14 갤러리 비선재 (한남동),127.014278496667,37.5357632637137,handmade
일백헌,서울 종로구 북촌로11가길 1 (가회동),126.984163126301,37.581988631731,handmade
김리아갤러리,서울 강남구 압구정로75길 5 (청담동),127.046853219261,37.5263600018698,handmade
반지대학 강남캠퍼스,서울 강남구 테헤란로1길 32 4층 (역삼동),127.027463167361,37.5003951110995,handmade
미림아트,서울 종로구 인사동길 11-1 (인사동),126.986681102308,37.571852756212,handmade
호리 아트스페이스,서울 강남구 압구정로80길 26 3층 (청담동),127.044610517722,37.5247990731669,handmade
갤러리루벤,서울 종로구 인사동5길 4 1층 (인사동),126.985866652038,37.5729945826315,handmade
루나밍,서울 서대문구 연희로 18 (창천동),126.92684941337,37.5603976577887,handmade
포트링공방,서울 마포구 동교로 215 2층 (동교동),126.923499185038,37.5592543320571,handmade
갤러리H,서울 종로구 인사동9길 10 (관훈동),126.984488630722,37.5737277293582,handmade
한국공예디자인문화진흥원 갤러리,서울 종로구 인사동11길 8 (관훈동),126.984128478814,37.5740079809751,handmade
갤러리애프터눈,서울 종로구 삼청로 80 (삼청동),126.981992241022,37.5825250423681,handmade
내맘대로폰케이스 홍대점,서울 마포구 와우산로19길 21 (서교동),126.921881669256,37.5511933100314,handmade
갤러리 아트사이드,서울 종로구 자하문로6길 15 (통의동),126.972946031397,37.5782683724918,handmade
강동화방,서울 송파구 오금로 210 (송파동),127.116820911025,37.5074240628034,handmade
용산공예관,서울 용산구 이태원로 274 (한남동),127.002075483615,37.5390272618407,handmade
역,서울 종로구 창의문로 136 (부암동),126.965404772731,37.5927641015229,handmade
나라아트센터,서울 노원구 공릉로51길 14-2 (공릉동),127.076382140937,37.6288763669285,handmade
홍제유연,서울 서대문구 통일로 484 (홍제동),126.94304229044,37.5916315313704,handmade
이길이구 갤러리,서울 강남구 강남대로158길 35 1층 (신사동),127.021480246749,37.5197495682315,handmade
혜화아트센터,서울 종로구 대학로 156 (혜화동),127.003097645534,37.5849699592551,handmade
팔레드서울,서울 종로구 자하문로10길 30 (통의동),126.973223505199,37.5792132181236,handmade
아라리오갤러리 서울,서울 종로구 율곡로 85 (원서동),126.988509233545,37.5778724936974,handmade
갤러리나우,서울 강남구 언주로152길 16 (신사동),127.034970463533,37.5227599286117,handmade
예화랑,서울 강남구 가로수길 73 (신사동),127.022217921447,37.522878975066,handmade
갤러리엠에치케이,서울 종로구 팔판길 12 1층 (팔판동),126.980955912506,37.5823856762291,handmade
갤러리루미나리에,서울 서초구 서초대로70길 6 1층 (서초동),127.022535986511,37.4956584819052,handmade
토포하우스,서울 종로구 인사동11길 6 (관훈동),126.985790817706,37.5705607153575,handmade
갤러리밈,서울 종로구 인사동5길 3 (인사동),126.985992903258,37.5728166511727,handmade
MPX갤러리,서울 영등포구 국제금융로 10 IFC몰 SOUTH ATRIUM L3 (여의도동),126.924876706923,37.5251775245928,handmade
스튜디오콘크리트,서울 용산구 한남대로 162 (한남동),127.002516651699,37.5424514132642,handmade
갤러리바톤,서울 용산구 독서당로 116 (한남동),127.01215591588,37.5364186188125,handmade
관훈갤러리,서울 종로구 인사동11길 11 (관훈동),126.9854441429,37.5709099890002,handmade
갤러리이즈,서울 종로구 인사동길 52-1 (관훈동),126.984151746675,37.5747858128577,handmade
류가헌,"서울 종로구 자하문로 106 아카이브 빌딩 2층, 지하 1층 (청운동)",126.970356412903,37.5853766800391,handmade
팝콘D스퀘어,서울 용산구 한강대로23길 55 아이파크몰 테마파크 6층 (한강로3가),126.964741503485,37.5297718014452,handmade
갤러리케이 아트노믹스 청담센터,서울 강남구 도산대로55길 16-6 (청담동),127.040864521516,37.5247612350867,handmade
갤러리원,서울 강남구 압구정로71길 14 (청담동),127.045900812708,37.5275164514377,handmade
서울옥션 강남센터,서울 강남구 언주로 864 (신사동),127.03392369307,37.5274306691576,handmade
케이옥션,서울 강남구 언주로172길 23 아트타워 1층 (신사동),127.035791153849,37.5276823985093,handmade
알부스갤러리,서울 용산구 한남대로28길 26 (한남동),127.005904817459,37.5381999241501,handmade
학고재,서울 종로구 삼청로 48-4 (소격동),126.980457310773,37.5802458248601,handmade
마루아트센터,서울 종로구 인사동길 35-4 (관훈동),126.984865059281,37.5735538862116,handmade
바늘이야기 연희직영점,서울 서대문구 연희로11가길 15 1층 (연희동),126.929111436603,37.5674544682992,handmade
