장소명,주소,경도,위도,분류
평화의소녀상,서울 영등포구 영중로 15 (영등포동4가),126.903715993779,37.5172332566615,historicalsite
이화여자대학교 김활란박사동상,서울 서대문구 이화여대길 52 (대현동),126.950288837762,37.5644645178259,historicalsite
손기정흉상,서울 중구 손기정로 101 (만리동2가),126.964815746241,37.5554795035057,historicalsite
평화의소녀상,서울 도봉구 도봉로 552 (창동),127.038864361959,37.6541803662546,historicalsite
이시영선생상,서울 중구 회현동1가 산 1-2,126.984251407206,37.5546913581096,historicalsite
어린이대공원 방정환동상,서울 광진구 능동로 216 (능동),127.078772391405,37.5520117024951,historicalsite
주시경흉상,서울 종로구 새문안로3길 7 (신문로1가),126.972317273193,37.5709332289676,historicalsite
평화의소녀상,서울 성동구 행당동 168-168,127.037338921752,37.561522370119,historicalsite
횡보염상섭 동상,서울 종로구 종로 1 (종로1가),126.977928770123,37.5709578373114,historicalsite
평화의소녀상,서울 중구 정동길 9 프란치스코회관 앞 (정동),126.970382993414,37.5677208007304,historicalsite
건국대학교 황소상,서울 광진구 능동로 120 (화양동),127.074711902268,37.539182674872,historicalsite
양재시민의숲 매헌윤봉길의사동상,서울 서초구 양재동 235,127.036781125639,37.4688043930773,historicalsite
일본군'위안부'피해자 기림비,서울 중구 소파로 46 (회현동1가),126.981283275094,37.5545491979668,historicalsite
우당 이회영선생흉상,서울 중구 명동11길 20 (명동1가),126.986148659736,37.564903856012,historicalsite
서재필동상,서울 서대문구 현저동,126.95407204926,37.5737854968818,historicalsite
강제징용노동자상,서울 용산구 한강로3가 40-999,126.964300393659,37.5297680649234,historicalsite
효창공원 이봉창의사동상,서울 용산구 임정로 26 (효창동),126.959253034196,37.5442779438577,historicalsite
효창공원 원효대사동상,서울 용산구 효창원로 177-18 (효창동),126.962290943049,37.544957405495,historicalsite
평화의소녀상,서울 동작구 흑석동 4 흑석역 3번 출구 옆,126.964009105551,37.5085022297878,historicalsite
김상옥열사의상,서울 종로구 동숭동,127.004872670199,37.5813770980378,historicalsite
평화의소녀상,서울 성북구 동소문동2가 2-4 한성대입구 6번출구 가로공원 내,127.006527202543,37.588358093212,historicalsite
평화의소녀상,서울 강북구 도봉로 351 강북구청 앞 소나무길 (수유동),127.026350185518,37.6390283790193,historicalsite
구암근린공원 허준선생동상,서울 강서구 가양동 1459-6,126.852784612832,37.5683203689776,historicalsite
김용환동상,서울 중구 장충동2가,127.000602078813,37.5550176670288,historicalsite
평화의소녀상,서울 구로구 구로동 603-13 북부광장,126.880581977494,37.5030085244105,historicalsite
언더우드동상,서울 서대문구 연세로 50 (신촌동),126.942930940634,37.5638064365127,historicalsite
만해 한용운 동상,서울 성북구 성북로 155 (성북동),126.992352181399,37.5943435870725,historicalsite
평화의소녀상,서울 용산구 이태원동 34-2,126.988695620439,37.5341030414223,historicalsite
서울대학교병원 세종대왕동상,서울 종로구 대학로 103 (연건동),127.001141181595,37.5812861026278,historicalsite
김유신장군상,서울 중구 남창동,126.977559311953,37.5576969045759,historicalsite
포은정몽주선생상,서울 마포구 합정동,126.911756414276,37.5516618139959,historicalsite
안중근의사상,서울 중구 소월로 91 (남대문로5가),126.980404324804,37.5534684886426,historicalsite
나석주열사의상,서울 중구 을지로 66 (을지로2가),126.985010733916,37.5651546444578,historicalsite
도산공원 안창호선생동상,서울 강남구 도산대로45길 20 (신사동),127.035603166151,37.5239508648976,historicalsite
이원등상사동상,서울 용산구 양녕로 446 (이촌동),126.959267672617,37.5173643176911,historicalsite
전쟁기념관 형제의상,서울 용산구 이태원로 29 (용산동1가),126.978466063237,37.5373140468913,historicalsite
절두산순교성지 김대건동상,서울 마포구 합정동,126.911756414276,37.5516618139959,historicalsite
강우규의사동상,서울 중구 통일로 13 (봉래동2가),126.971566147912,37.5568085815143,historicalsite
백범광장 백범김구상,서울 중구 회현동1가 100-115,126.979914019349,37.5549251395326,historicalsite
강감찬장군 동상,서울 관악구 낙성대로 77 (봉천동),126.959370998377,37.4719720770814,historicalsite
여의도공원 세종대왕동상,서울 영등포구 여의도동 23-11,126.924807750412,37.524675532435,historicalsite
퇴계이황선생상,서울 용산구 소월로 109 (후암동),126.982158117042,37.5525564160959,historicalsite
송파 평화의소녀상,서울 송파구 송파대로37길 77 (가락동),127.104383431798,37.4988841772964,historicalsite
평화의소녀상,서울 서초구 반포대로27길 29 서초고등학교 교정 (서초동),127.005378249754,37.4896116868936,historicalsite
최규식경무관동상,서울 종로구 청운동 산 1-1,126.971829062756,37.5913455759353,historicalsite
전태일동상,서울 종로구 종로5가 411-1,127.006661867725,37.5697792283999,historicalsite
평화의소녀상,서울 종로구 수송동 85-5 일본대사관 앞,126.980336447421,37.5749054316945,historicalsite
광화문광장 세종대왕동상,서울 종로구 세종로 1-68,126.976901845925,37.5724324798009,historicalsite
호랑이동상,서울 종로구 누상동 산 1-28,126.962261172001,37.5790853447756,historicalsite
남소문터,서울 중구 장충동2가 산 5-21,126.999808863902,37.5500809196815,historicalsite
무악동봉수대지,서울 서대문구 봉원동 산 1,126.946227486352,37.5756101221893,historicalsite
성북동 별서,서울 성북구 선잠로2길 53 (성북동),126.998865146274,37.5969929245695,historicalsite
보성사터,서울 종로구 수송동 80-7,126.981147699385,37.573845814026,historicalsite
안평대군이용집터,서울 종로구 창의문로7길 28-4 (부암동),126.96286502625,37.5916270888214,historicalsite
서빙고터,서울 용산구 서빙고동 199-6,126.990793667992,37.520628018833,historicalsite
혜민서 터,서울 중구 을지로2가 108-1,126.988556515987,37.5662849805582,historicalsite
보안사서빙고분실터,서울 용산구 서빙고로51길 12 (서빙고동),126.99188278086,37.5207543292192,historicalsite
창의궁 터,서울 종로구 효자로 19 (통의동),126.973767075955,37.5777719298169,historicalsite
흥화문터,서울 종로구 신문로1가 58-1,126.97226064433,37.5704049621372,historicalsite
경기감영터,서울 종로구 새문안로 9 (평동),126.967202493985,37.5667630123693,historicalsite
전옥서 터,서울 종로구 청계천로 41 (서린동),126.982179278549,37.5696679696981,historicalsite
의금부 터,서울 종로구 종로 47 (공평동),126.982438945074,37.5711250081852,historicalsite
강남스타일동상,서울 강남구 봉은사로 524 (삼성동),127.057250899584,37.5128320848839,historicalsite
을지문덕장군상,서울 광진구 천호대로 662 (능동),127.088818169559,37.551593357842,historicalsite
다산정약용선생상,서울 용산구 소월로 109 (후암동),126.982158117042,37.5525564160959,historicalsite
광화문광장 이순신장군동상,서울 종로구 세종로 1-68,126.976901845925,37.5724324798009,historicalsite
종묘 제정,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
종묘 영녕전,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
선릉 성종왕비정현왕후릉,서울 강남구 선릉로100길 1 (삼성동),127.047165945717,37.5073677154051,historicalsite
종묘 전사청,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
이화장,서울 종로구 이화장1길 32 (이화동),127.006414931482,37.578342566916,historicalsite
의릉,서울 성북구 화랑로32길 146-20 (석관동),127.059418046671,37.605163743116,historicalsite
월계동각심재,서울 노원구 초안산로7길 20 (월계동),127.050740918085,37.6339696678782,historicalsite
삼청동 오위장김춘영가옥,서울 중구 퇴계로34길 28 (필동2가),126.994738735334,37.5595422700067,historicalsite
영휘원,서울 동대문구 홍릉로 90 (청량리동),127.043537625987,37.5895837930767,historicalsite
종묘 영녕전악공청,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
정전악공청,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
숭인원,서울 동대문구 홍릉로 90 (청량리동),127.043537625987,37.5895837930767,historicalsite
궁산 소악루,서울 강서구 양천로47나길 52-54 (가양동),126.841331638307,37.57425308557,historicalsite
서울 선릉과 정릉,서울 강남구 선릉로100길 1 (삼성동),127.047165945717,37.5073677154051,historicalsite
서울방이동고분군,서울 송파구 오금로 219 (방이동),127.118164220291,37.5075749063374,historicalsite
문화류씨묘역 문양군류희림묘역,서울 송파구 오금로 363 (오금동),127.131652867637,37.5051911812908,historicalsite
올림픽공원 몽촌토성,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,historicalsite
종묘 망묘루,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
삼각동도편수 이승업가옥,서울 중구 퇴계로34길 28 (필동2가),126.994738735334,37.5595422700067,historicalsite
남산공원 남산봉수대,서울 중구 예장동 8-1,126.987632800228,37.5517486507969,historicalsite
남산골한옥마을,서울 중구 퇴계로34길 28 (필동2가),126.994738735334,37.5595422700067,historicalsite
국립서울현충원,서울 동작구 현충로 210 (동작동),126.978408414947,37.4998236507216,historicalsite
국립4.19민주묘지,서울 강북구 수유동 580-1,127.00767257406,37.6490400141611,historicalsite
전주이씨 광평대군파묘역,서울 강남구 광평로31길 20 (수서동),127.09213631557,37.4865192139773,historicalsite
광화문,서울 종로구 사직로 161 (세종로),126.976842133821,37.5759040910202,historicalsite
광개토대왕릉비,서울 용산구 이태원로 29 (용산동1가),126.978466063237,37.5373140468913,historicalsite
종묘 공민왕신당,서울 종로구 훈정동,126.994172362099,37.5743637157987,historicalsite
경희궁지,서울 종로구 새문안로 45 (신문로2가),126.96798487452,37.5717690679936,historicalsite
종묘,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
현충원호국지장사,서울 동작구 현충로 210 (동작동),126.978408414947,37.4998236507216,historicalsite
서울 헌릉과 인릉,서울 서초구 헌인릉길 36-10 (내곡동),127.083715641013,37.4653774350288,historicalsite
종묘 향대청,서울 종로구 종로 157 (훈정동),126.994863544675,37.573133529535,historicalsite
태릉,서울 노원구 화랑로 727 (공릉동),127.101692069752,37.6347814286789,historicalsite
충숙공이상길묘역,서울 노원구 하계동 산 16-1,127.079754920743,37.6411330307313,historicalsite
