장소명,주소,경도,위도,분류
황학동벼룩시장,서울 중구 황학동 161,127.019012125259,37.5693319828277,market
청량리청과물시장,서울 동대문구 왕산로33길 6 (제기동),127.042460050072,37.5797928232288,market
신원시장,서울 관악구 신원로3길 40-4 (신림동),126.926717662092,37.4825662643235,market
남부시장,서울 강서구 등촌로5길 80 (화곡동),126.858951804044,37.5330706883775,market
암사종합시장,서울 강동구 상암로11길 25 (암사동),127.128820816501,37.5508588488412,market
가락동농수산물도매시장 수산시장,서울 송파구 양재대로 932 (가락동),127.108713599026,37.4945376921828,market
길동복조리시장,서울 강동구 천중로52길 37 (길동),127.143802914211,37.5390801887964,market
현대시장,서울 관악구 양녕로 49 (봉천동),126.94651500861,37.4864305877942,market
도깨비시장,서울 도봉구 방학동 726-80,127.035458856064,37.6653051385471,market
남성사계시장,서울 동작구 동작대로29길 47 (사당동),126.979388549347,37.4883422033013,market
대신시장,서울 영등포구 도신로60길 7 (신길동),126.917585763815,37.5110712424979,market
방신재래시장,서울 강서구 방화동 769-24,126.811887021527,37.5725249801733,market
강서농산물도매시장,서울 강서구 발산로 40 (외발산동),126.822862769588,37.5553770091343,market
새마을전통시장,서울 송파구 잠실동 278,127.085427078913,37.5092123122871,market
영동전통시장,서울 강남구 학동로4길 35 (논현동),127.023972507853,37.5091847279371,market
금남시장,서울 성동구 장터5길 2-15 (금호동3가),127.021688688555,37.5485317332003,market
방이재래시장,서울 송파구 방이동 1-1,127.113662835082,37.5117744890504,market
구로시장,서울 구로구 구로동로22길 17-4 (구로동),126.885619803142,37.4896300535003,market
신창시장,서울 도봉구 덕릉로57길 17 (창동),127.037455490782,37.639435143988,market
신영시장,서울 양천구 월정로 161-5 (신월동),126.836024900774,37.5330140502235,market
중부시장,서울 중구 오장동 148-20,127.000354052569,37.5652330811218,market
연서시장,서울 은평구 통일로 850 (불광동),126.921445035076,37.6193203344525,market
화곡본동시장,서울 강서구 초록마을로2길 48 (화곡동),126.843502478979,37.5432592790771,market
대림시장,서울 은평구 응암로4길 22 (응암동),126.917742147878,37.5867972937404,market
별빛남문시장,서울 금천구 독산동 984-10,126.900414846232,37.4737015457691,market
용문시장,서울 용산구 효창원로40길 13 (용문동),126.959795656465,37.5366226942555,market
평화시장,서울 중구 청계천로 274 (을지로6가),127.00804756339,37.5694258617472,market
정릉시장,서울 성북구 정릉동 980,127.01033596406,37.6075282096108,market
우림시장,서울 중랑구 망우로62길 48 (망우동),127.098263161285,37.5970213120534,market
공릉동도깨비시장,서울 노원구 동일로180길 53 (공릉동),127.077159401044,37.6228631267523,market
동부시장,서울 중랑구 면목동 184-13,127.077163511948,37.5921991189225,market
서울중앙시장,서울 중구 퇴계로85길 36 (황학동),127.019763220778,37.5673826454782,market
동묘시장,서울 종로구 숭인동 239-9,127.01804023628,37.5726080640031,market
통인시장,서울 종로구 자하문로15길 16 (통인동),126.970066375608,37.5807803692863,market
마장축산물시장,서울 성동구 고산자로24길 4-1 (마장동),127.037970571097,37.5699521577271,market
영등포중앙시장,서울 영등포구 영중로24길 20-1 (영등포동5가),126.907393012616,37.5218335638043,market
성대전통시장,서울 동작구 국사봉1길 41 (상도동),126.930856713351,37.4992177529756,market
수유전통시장,서울 강북구 도봉로67길 18 (수유동),127.022668132796,37.6307289053601,market
서울풍물시장,서울 동대문구 천호대로4길 21 (신설동),127.025502937291,37.5727131853349,market
영천시장,서울 서대문구 영천동 341-10,126.962552566263,37.5698285280585,market
동대문 문구완구시장,서울 종로구 종로52길 36 (창신동),127.014447816287,37.5712313872766,market
가락시장,서울 송파구 양재대로 932 (가락동),127.108713599026,37.4945376921828,market
경동시장,서울 동대문구 왕산로 147 (제기동),127.03965869498,37.5787842338973,market
방산시장,서울 중구 을지로33길 6 (주교동),127.000359834637,37.567202207857,market
동대문종합시장,서울 종로구 종로 266 (종로6가),127.007328677369,37.5707064933341,market
망원시장,서울 마포구 망원동 403-6,126.906310217875,37.5550113116965,market
양재동꽃시장,서울 서초구 강남대로 27 (양재동),127.039136433366,37.4682787075426,market
남대문시장,서울 중구 남대문시장4길 21 (남창동),126.977653709273,37.5591863609004,market
광장시장,서울 종로구 창경궁로 88 (예지동),126.999707163125,37.5701125140082,market
노량진수산물도매시장,서울 동작구 노들로 674 (노량진동),126.937975950622,37.5148236866215,market
