장소명,주소,경도,위도,분류
강경대기념관,서울 종로구 율곡로20길 23-3 (충신동),127.004164722334,37.5747499525137,memorial
국립중앙의료원 스칸디나비아기념관,서울 중구 을지로 245 (을지로6가),127.005484601979,37.5677264605676,memorial
고촌홀,"서울 서대문구 충정로 8 2,3층 (충정로3가)",126.963830786994,37.5627608837436,memorial
육군사관학교 육사기념관,서울 노원구 공릉동 16 사서함 77-1,127.098679662025,37.6242933565325,memorial
진선여자고등학교 회당기념관,서울 강남구 선릉로85길 27 (역삼동),127.048286565491,37.5023028920315,memorial
스코필드기념관,서울 종로구 새문안로 35-40 (신문로2가),126.969067217939,37.5688944606392,memorial
성신여자대학교 돈암수정캠퍼스 운정기념관,서울 성북구 보문로34다길 2 성신관 4층 (돈암동),127.02214561649,37.5916524767249,memorial
엘비스프레슬리 서울기념관,서울 중구 소파로 142 (예장동),126.98824699771,37.5594460262757,memorial
서소문역사공원 하늘광장,서울 중구 칠패로 5 (의주로2가),126.968867161039,37.5605678517575,memorial
파독근로자기념관,서울 서초구 강남대로6길 77 (양재동),127.044628489542,37.4689044051389,memorial
서소문순교자기념관,서울 중구 청파로 447-1 (중림동),126.966980133221,37.5591934088751,memorial
국기원 기념관,서울 강남구 테헤란로7길 32 (역삼동),127.030390914522,37.5025153620014,memorial
한신대학교 신학대학원 만우기념관,서울 강북구 인수봉로 159 (수유동),127.012939412371,37.6350136597768,memorial
한무숙문학관,서울 종로구 혜화로9길 20 (명륜1가),126.998657523066,37.587790370379,memorial
이화여자고등학교 심슨기념관,서울 중구 정동길 26 (정동),126.971324436617,37.5661766361549,memorial
이승만대통령기념관,서울 종로구 이화장1길 32 (이화동),127.006414931482,37.578342566916,memorial
국립4.19민주묘지 기념관,서울 강북구 4.19로8길 17 (수유동),127.009071258248,37.6483906662883,memorial
한국기독교선교기념관,서울 마포구 양화진길 46 (합정동),126.911769148865,37.5465227992805,memorial
김옥길기념관,서울 서대문구 연대동문길 47-6 (대신동),126.944445363887,37.5647280670378,memorial
심산김창숙기념관,서울 서초구 사평대로 55 (반포동),126.990515657787,37.4988531475655,memorial
김중업건축문화의집,서울 성북구 장위로21나길 11 (장위동),127.044068592488,37.6150174740391,memorial
충무공이야기,서울 종로구 세종대로 175 (세종로),126.976168275947,37.5718478584908,memorial
서울올림픽기념관,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,memorial
풋볼팬타지움,서울 마포구 월드컵로 240 서울월드컵경기장내 서문 (성산동),126.897273034482,37.5682884450841,memorial
조계사 불교역사문화기념관,서울 종로구 우정국로 55 (수송동),126.981881684461,37.5738931410856,memorial
국회의사당 국회박물관,서울 영등포구 의사당대로 1 (여의도동),126.916403869603,37.5329119742768,memorial
전쟁기념관 평화의광장,서울 용산구 이태원로 29 (용산동1가),126.978466063237,37.5373140468913,memorial
손기정기념관,서울 중구 손기정로 101-4 (만리동2가),126.964708872347,37.5558004970449,memorial
체신기념관,서울 종로구 우정국로 59 (견지동),126.982614538067,37.5744290728773,memorial
윤동주기념관,서울 서대문구 연세로 50 핀슨관2층 (신촌동),126.942930940634,37.5638064365127,memorial
서울유관순기념관,서울 중구 통일로4길 30-1 (순화동),126.970304946247,37.564445030016,memorial
백남준기념관,서울 종로구 종로53길 12-1 (창신동),127.013775536144,37.5730656233283,memorial
세종이야기,서울 종로구 세종로 1-68 지하,126.976901845925,37.5724324798009,memorial
함석헌기념관,서울 도봉구 도봉로123길 33-6 (쌍문동),127.034796402967,37.6529616157973,memorial
이한열기념관,서울 마포구 신촌로12나길 26 (노고산동),126.933865358054,37.5550435661865,memorial
도산공원 도산안창호기념관,서울 강남구 도산대로45길 20 (신사동),127.035603166151,37.5239508648976,memorial
성균관대학교 600주년기념관,서울 종로구 성균관로 25-2 성균관대학교 내 600주년기념관 (명륜3가),126.993115116294,37.5872284082508,memorial
이회영기념관,서울 중구 퇴계로26길 36 지하1층 (예장동),126.988938798185,37.5598873113423,memorial
근현대사기념관,서울 강북구 4.19로 114 (수유동),127.002830628534,37.6434410661945,memorial
최순우옛집,서울 성북구 성북로15길 9 (성북동),127.000349881218,37.5929768495688,memorial
민주인권기념관 (휴관중),서울 용산구 한강대로71길 37 (갈월동),126.971537661678,37.5409459533191,memorial
세종대왕기념관,서울 동대문구 회기로 56 (청량리동),127.042703170101,37.5909928893989,memorial
동대문역사문화공원 동대문운동장기념관,서울 중구 을지로 281 (신당동),127.010909140996,37.5680142223789,memorial
아름다운청년전태일기념관,서울 종로구 청계천로 105 (관수동),126.989300313392,37.5684664512813,memorial
안중근의사기념관,서울 중구 소월로 91 (남대문로5가),126.980404324804,37.5534684886426,memorial
백범김구기념관,서울 용산구 임정로 26 (효창동),126.959253034196,37.5442779438577,memorial
매헌윤봉길의사기념관,서울 서초구 매헌로 99 (양재동),127.036977084936,37.4730498033959,memorial
국립대한민국임시정부기념관,서울 서대문구 통일로 279-24 (현저동),126.954417321379,37.5759997348249,memorial
전쟁기념관,서울 용산구 이태원로 29 (용산동1가),126.978466063237,37.5373140468913,memorial
강경대기념관,서울 종로구 율곡로20길 23-3 (충신동),127.004164722334,37.5747499525137,memorial
국립중앙의료원 스칸디나비아기념관,서울 중구 을지로 245 (을지로6가),127.005484601979,37.5677264605676,memorial
고촌홀,"서울 서대문구 충정로 8 2,3층 (충정로3가)",126.963830786994,37.5627608837436,memorial
육군사관학교 육사기념관,서울 노원구 공릉동 16 사서함 77-1,127.098679662025,37.6242933565325,memorial
진선여자고등학교 회당기념관,서울 강남구 선릉로85길 27 (역삼동),127.048286565491,37.5023028920315,memorial
