장소명,주소,경도,위도,분류
메가박스 화곡,서울 강서구 화곡로 142 메가스퀘어 4층 (화곡동),126.837581836675,37.5405665780291,movietheater
롯데시네마 가산디지털,서울 금천구 디지털로10길 9 하이힐아울렛 8층 (가산동),126.88905533739,37.4776190161713,movietheater
메가박스 목동,서울 양천구 목동동로 309 행복한세상백화점 6층 (목동),126.876008647904,37.5291435349019,movietheater
롯데시네마 강동,서울 강동구 천호옛길 85 (성내동),127.125335580215,37.5366333948264,movietheater
메가박스 상봉,서울 중랑구 망우로30길 3 (상봉동),127.0747508051,37.5930806702101,movietheater
롯데시네마 가양,서울 강서구 양천로 476 금부빌딩 4층 (등촌동),126.853271958466,37.5616001805127,movietheater
롯데시네마 브로드웨이,서울 강남구 도산대로8길 8 (논현동),127.02194180264,37.5163705406376,movietheater
메가박스 홍대,서울 마포구 양화로 147 아일렉스 7층 (동교동),126.922054171124,37.5560489907799,movietheater
메가박스 마곡,서울 강서구 공항대로 247 퀸즈나인 B동 4층 (마곡동),126.83523920295,37.5593135416408,movietheater
메가박스 이수,서울 동작구 동작대로 89 골든시네마타워 7층 (사당동),126.981665713772,37.4846140265703,movietheater
CGV 중계,서울 노원구 동일로204가길 12 홈플러스 8층 (중계동),127.068668049616,37.6398580838556,movietheater
롯데시네마 노원,서울 노원구 동일로 1414 롯데백화점 10층 (상계동),127.061391730931,37.6552787315469,movietheater
메가박스 송파파크하비오,서울 송파구 송파대로 111 파크하비오푸르지오 204동 지하1층 (문정동),127.124913859704,37.4796683841344,movietheater
롯데시네마 에비뉴엘,서울 중구 남대문로 73 롯데에비뉴엘 6층 (소공동),126.981638076651,37.5642046081718,movietheater
롯데시네마 신림,서울 관악구 신림로 330 타임스트림 10층 (신림동),126.930234545397,37.4838513393186,movietheater
CGV 미아,서울 강북구 도봉로 34 트레지오쇼핑몰 9층 (미아동),127.03072164571,37.6120685327599,movietheater
CGV 목동,서울 양천구 목동동로 257 현대백화점 지하2층 (목동),126.874619136454,37.5273217750941,movietheater
롯데시네마 홍대입구,서울 마포구 양화로 176 와이즈파크 8~10층 (동교동),126.924986220455,37.5572467836494,movietheater
롯데시네마 용산,서울 용산구 청파로 74 용산전자랜드 4~5층 (한강로3가),126.959558538475,37.5327888550584,movietheater
메가박스 강남,서울 서초구 서초대로77길 3 아라타워 8층 (서초동),127.026504807476,37.4980609129976,movietheater
메가박스 코엑스,서울 강남구 영동대로 513 코엑스몰 지하1층 (삼성동),127.059159043842,37.5118239121138,movietheater
메가박스 성수,서울 성동구 왕십리로 50 메가박스 스퀘어 3층 (성수동1가),127.04491059446,37.5418866227463,movietheater
메가박스 신촌,서울 서대문구 신촌역로 30 밀레오레 5층 (신촌동),126.942386979371,37.5598241279561,movietheater
CGV 불광,서울 은평구 불광로 20 팜스퀘어 11층 (대조동),126.928938477038,37.6097357749976,movietheater
메가박스 동대문,서울 중구 장충단로 247 굿모닝시티 9층 (을지로6가),127.007358177138,37.5668021171335,movietheater
롯데시네마 건대입구,서울 광진구 아차산로 272 스타시티 2층 (자양동),127.072996184863,37.5385582736952,movietheater
CGV 동대문,서울 중구 장충단로13길 20 현대시티아울렛 동대문점 내 (을지로6가),127.007666479829,37.568734553218,movietheater
CGV 수유,서울 강북구 도봉로 399 (수유동),127.029806166339,37.6424075100379,movietheater
CGV 명동,서울 중구 명동길 14 눈스퀘어 8층 (명동2가),126.98288772495,37.5634116488196,movietheater
CGV 대학로,서울 종로구 대명길 28 (명륜2가),126.999842630109,37.5834579529328,movietheater
CGV 상봉,서울 중랑구 상봉로 131 상봉듀오트리스 지하2층 (상봉동),127.092177640813,37.5974066200134,movietheater
CGV 구로,서울 구로구 구로중앙로 152 NC 신구로점 6층 (구로동),126.882773011925,37.5011601442131,movietheater
CGV 송파,서울 송파구 충민로 66 가든파이브 라이프 영관 10층 (문정동),127.124961768886,37.4776148442516,movietheater
CGV 천호,서울 강동구 양재대로 1571 홈플러스 4층 (천호동),127.14225531407,37.5457145865749,movietheater
CGV 신촌아트레온,서울 서대문구 신촌로 129 아트레온 2층 (창천동),126.940328119434,37.5565639285478,movietheater
CGV 홍대,서울 마포구 양화로 153 4층 (동교동),126.922631917858,37.5564943733388,movietheater
롯데시네마 월드타워,서울 송파구 올림픽로 300 롯데월드몰 5~11층 (신천동),127.104446890835,37.5137519612953,movietheater
CGV 건대입구,서울 광진구 아차산로30길 26 몰오브케이 3층 (자양동),127.066887730045,37.5397607621364,movietheater
CGV 강변,서울 광진구 광나루로56길 85 테크노마트 10층 (구의동),127.095692162256,37.535725176732,movietheater
CGV 왕십리,서울 성동구 왕십리광장로 17 민자역사 5층 (행당동),127.038394194396,37.5614417528647,movietheater
CGV 청담씨네시티,서울 강남구 도산대로 323 (신사동),127.037016265027,37.5228971585502,movietheater
CGV 강남,서울 강남구 강남대로 438 스타플렉스 (역삼동),127.026336096148,37.5016428104731,movietheater
CGV 피카디리1958,서울 종로구 돈화문로5가길 1 지하2층 (돈의동),126.991230294263,37.5710275098022,movietheater
CGV 명동역 씨네라이브러리,"서울 중구 퇴계로 123 하이해리엇 10,11층 (충무로2가)",126.985364301804,37.5612658980395,movietheater
CGV 여의도,서울 영등포구 국제금융로 10 국제금융센터 지하3층 (여의도동),126.924876706923,37.5251775245928,movietheater
CGV 영등포,서울 영등포구 영중로 15 타임스퀘어 4~7층 (영등포동4가),126.903715993779,37.5172332566615,movietheater
CGV 용산아이파크몰,서울 용산구 한강대로23길 55 아이파크몰 6층 (한강로3가),126.964741503485,37.5297718014452,movietheater
