장소명,주소,경도,위도,분류
한국영화박물관,서울 마포구 월드컵북로 400 한국영상자료원 1층 (상암동),126.88989352596,37.5804510730532,museum
국립기상박물관,서울 종로구 송월길 52 (신문로2가),126.966204176024,37.5702217430549,museum
서울우리소리박물관,서울 종로구 율곡로 96 (와룡동),126.989622047178,37.577157928122,museum
서울하수도과학관,서울 성동구 자동차시장3길 64 (용답동),127.060364943935,37.5604666954517,museum
화정박물관,서울 종로구 평창8길 3 (평창동),126.966081861578,37.6045448453703,museum
우표박물관,서울 중구 소공로 70 서울중앙우체국 지하2층 (충무로1가),126.982169090151,37.5615987374058,museum
예술의전당 서울서예박물관,"서울 서초구 남부순환로 2406 본관 2,3층 (서초동)",127.014215239186,37.4802401962069,museum
공평도시유적전시관,서울 종로구 우정국로 26 지하1층 (공평동),126.983659015157,37.5714966636936,museum
만천곤충박물관,서울 영등포구 영등포로 180 2층 (영등포동4가),126.901353318273,37.5202638125229,museum
전쟁과여성인권박물관,서울 마포구 월드컵북로11길 20 (성산동),126.914887108093,37.5600976273155,museum
수도박물관,서울 성동구 성수동1가 642-1,127.042263013059,37.5398270134134,museum
서울교육박물관,서울 종로구 북촌로5길 48 (화동),126.983870059299,37.5812654545612,museum
서울약령시 한의약박물관,서울 동대문구 약령중앙로 26 서울한방진흥센터 (제기동),127.037586644096,37.5806004145096,museum
식민지역사박물관,서울 용산구 청파로47다길 27 서현빌딩 1층 (청파동2가),126.96683633939,37.5457847154633,museum
롯데월드 민속박물관,서울 송파구 올림픽로 240 (잠실동),127.098141751177,37.5113096112036,museum
농업박물관,서울 중구 새문안로 16 농협중앙회 (충정로1가),126.968555570622,37.5664991184072,museum
용산역사박물관,서울 용산구 한강대로14길 35-29 (한강로3가),126.965769395985,37.5256680404431,museum
브이센터,서울 강동구 아리수로61길 103 (고덕동),127.147715238632,37.5653931322584,museum
한국가구박물관,서울 성북구 대사관로 121 (성북동),126.993449212447,37.6003783121197,museum
은평역사한옥박물관,서울 은평구 연서로50길 8 (진관동),126.938008171987,37.6403336262874,museum
우리옛돌박물관,서울 성북구 대사관로13길 66 (성북동),126.990133889221,37.6008969621021,museum
한양도성박물관,서울 종로구 율곡로 283 서울디자인지원센터 1~3층 (종로6가),127.008512843764,37.5728571793919,museum
노원수학문화관,서울 노원구 한글비석로19길 28 (중계동),127.072350210885,37.6578302271754,museum
호림박물관,서울 관악구 남부순환로152길 53 (신림동),126.918236356687,37.4808823005112,museum
전쟁기념관 어린이박물관,서울 용산구 이태원로 29 (용산동1가),126.978466063237,37.5373140468913,museum
청계천박물관,서울 성동구 청계천로 530 (마장동),127.03504316401,37.5712661734969,museum
박물관은살아있다 인사동점,"서울 종로구 인사동길 12 대일빌딩 지하1,2층 (인사동)",126.987230558854,37.5718961547884,museum
국립민속박물관 어린이박물관,서울 종로구 사직로 161 (세종로),126.976842133821,37.5759040910202,museum
허준박물관,서울 강서구 허준로 87 (가양동),126.851031243879,37.5678724473689,museum
서울생활사박물관,서울 노원구 동일로174길 27 (공릉동),127.076936195632,37.6201739154268,museum
둘리뮤지엄,서울 도봉구 시루봉로1길 6 (쌍문동),127.027638500056,37.6524298578984,museum
송파책박물관,서울 송파구 송파대로37길 77 (가락동),127.104383431798,37.4988841772964,museum
호림아트센터,서울 강남구 도산대로 317 (신사동),127.036344550051,37.522697614888,museum
서울어린이대공원 서울상상나라,서울 광진구 능동로 216 (능동),127.078772391405,37.5520117024951,museum
한성백제박물관,서울 송파구 위례성대로 71 (방이동),127.120800706942,37.5154287227604,museum
국립한글박물관,서울 용산구 서빙고로 139 (용산동6가),126.980486330158,37.5210687976885,museum
한국은행 화폐박물관,서울 중구 남대문로 39 (남대문로3가),126.97972353038,37.5625151968969,museum
경찰박물관,서울 종로구 송월길 162 (행촌동),126.962196007118,37.5720572964048,museum
국립고궁박물관,서울 종로구 효자로 12 (세종로),126.974974825074,37.5765916191985,museum
윤동주문학관,서울 종로구 창의문로 119 (청운동),126.96706863952,37.592096942441,museum
서소문성지역사박물관,서울 중구 칠패로 5 (의주로2가),126.968867161039,37.5605678517575,museum
서대문 자연사박물관,서울 서대문구 연희로32길 51 (연희동),126.937858169171,37.5767519879565,museum
국립항공박물관,서울 강서구 하늘길 177 (공항동),126.80887234623,37.5568697658909,museum
청와대 사랑채,서울 종로구 효자로13길 45 (효자동),126.973059283309,37.582544875368,museum
서울공예박물관,서울 종로구 율곡로3길 4 (안국동),126.983533363501,37.5766481740232,museum
국립민속박물관,서울 종로구 사직로 161 (세종로),126.976842133821,37.5759040910202,museum
대한민국역사박물관,서울 종로구 세종대로 198 (세종로),126.978339442463,37.5737136067193,museum
서울역사박물관,서울 종로구 새문안로 55 (신문로2가),126.97107522045,37.5704968494713,museum
국립중앙박물관,서울 용산구 서빙고로 137 (용산동6가),126.977740246542,37.5247022357875,museum
한국영화박물관,서울 마포구 월드컵북로 400 한국영상자료원 1층 (상암동),126.88989352596,37.5804510730532,museum
국립기상박물관,서울 종로구 송월길 52 (신문로2가),126.966204176024,37.5702217430549,museum
서울우리소리박물관,서울 종로구 율곡로 96 (와룡동),126.989622047178,37.577157928122,museum
서울하수도과학관,서울 성동구 자동차시장3길 64 (용답동),127.060364943935,37.5604666954517,museum
화정박물관,서울 종로구 평창8길 3 (평창동),126.966081861578,37.6045448453703,museum
