장소명,주소,경도,위도,분류
장충단공원,서울 중구 동호로 261 (장충동2가),127.004802045236,37.5587633776035,park
몽마르뜨공원,서울 서초구 서초동 산 180-1,127.003994419,37.4953873786007,park
노을공원,서울 마포구 상암동,126.894689433213,37.5783209050878,park
연희숲속쉼터,서울 서대문구 연희동,126.935230751932,37.573910010416,park
서대문독립공원,서울 서대문구 통일로 251 (현저동),126.955611774864,37.5746085138333,park
양재시민의숲,서울 서초구 매헌로 99 (양재동),127.036977084936,37.4730498033959,park
사육신역사공원,서울 동작구 노량진로 191 (노량진동),126.949411135441,37.5134579901091,park
삼청공원,서울 종로구 북촌로 134-1 (삼청동),126.983451107631,37.5876994790621,park
잠실한강공원,서울 송파구 잠실동 1-1,127.082348760182,37.5177740347208,park
올림픽공원,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,park
영등포공원,서울 영등포구 신길로 275 (영등포동),126.912126417071,37.5161266236525,park
파리공원,서울 양천구 목동 906,126.877023696848,37.5347848605796,park
와룡공원,서울 종로구 와룡공원길 192 (명륜3가),126.990123964035,37.5911688666848,park
용양봉저정공원,서울 동작구 본동,126.954204316851,37.513029355907,park
뚝섬한강공원,서울 광진구 자양동 427-6,127.069201213756,37.528891648674,park
동대문디자인플라자(DDP) 동대문역사문화공원,서울 중구 을지로 281 (을지로7가),127.010909140996,37.5680142223789,park
낙성대공원,서울 관악구 낙성대로 77 (봉천동),126.959370998377,37.4719720770814,park
서서울호수공원,서울 양천구 남부순환로64길 20 (신월동),126.830086887893,37.5274318869812,park
샛강생태공원,서울 영등포구 여의동로 48 (여의도동),126.921949132247,37.518718411178,park
평화의공원,서울 마포구 상암동 1535,126.892678380812,37.5632720287737,park
월드컵공원,서울 마포구 월드컵로 243-60 (성산동),126.898437121059,37.5635271495035,park
도산근린공원,서울 강남구 신사동 649-9,127.035117384097,37.5243907896015,park
손기정체육공원,서울 중구 손기정로 101 (만리동2가),126.964815746241,37.5554795035057,park
사직공원,서울 종로구 사직로 89 (사직동),126.967833124699,37.5756034804899,park
마로니에공원,서울 종로구 대학로 104 (동숭동),127.002515322401,37.5803340012344,park
북악팔각정,서울 종로구 북악산로 267 (평창동),126.980551282647,37.601975429062,park
난지한강공원,서울 마포구 상암동 495-72,126.875023707584,37.5677772076127,park
잠원한강공원,서울 강남구 압구정동 386,127.018867504096,37.5272932075631,park
보라매공원,서울 동작구 신대방동 722,126.919756524074,37.4930838003695,park
서울숲,서울 성동구 성수동1가 678-1,127.037402124266,37.5446317017926,park
문화비축기지,서울 마포구 증산로 87 (성산동),126.895031420115,37.5703466887615,park
서울함공원,서울 마포구 마포나루길 407 (망원동),126.893953718935,37.555788061662,park
낙산공원,서울 종로구 낙산길 41 (동숭동),127.006531505857,37.5805926127615,park
반포한강공원,서울 서초구 신반포로11길 40 (반포2동),126.992730984132,37.5076939718271,park
탑골공원,서울 종로구 종로 99 (종로2가),126.988058695758,37.5706125034675,park
서울광장,서울 중구 태평로1가 54-3,126.9776905868,37.5660817844037,park
서울로7017,서울 중구 퇴계로 33 (남대문로5가),126.976607882008,37.5575463434632,park
하늘공원,서울 마포구 상암동 481-72,126.886586507994,37.5673929843134,park
양화한강공원,서울 영등포구 노들로 221 (당산동),126.902404444577,37.538227498425,park
이촌한강공원,서울 용산구 이촌로72길 62 (이촌동),126.970850893942,37.517820588578,park
남산공원,서울 중구 남산공원길 125-54 (예장동),126.988092003561,37.5519463770035,park
망원한강공원,서울 마포구 마포나루길 467 (망원동),126.899887164828,37.5523429618711,park
선유도공원,서울 영등포구 선유로 343 (당산동),126.901819342041,37.5423832345578,park
여의도공원,서울 영등포구 여의공원로 68 (여의도동),126.922284053463,37.5268088229325,park
효창공원,서울 용산구 효창원로 177-18 (효창동),126.962290943049,37.544957405495,park
여의도한강공원,서울 영등포구 여의도동 85,126.936317496379,37.525213349978,park
경의선숲길공원,서울 용산구 용문동,126.959891817892,37.537700864015,park
용산가족공원,서울 용산구 서빙고로 137 (용산동6가),126.977740246542,37.5247022357875,park
서소문역사공원,서울 중구 칠패로 5 (의주로2가),126.968867161039,37.5605678517575,park
