장소명,주소,경도,위도,분류
올림픽수영장,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,sports
잠실종합운동장,서울 송파구 올림픽로 25 (잠실동),127.075939572603,37.5161996814031,sports
목동운동장 목동야구장,서울 양천구 안양천로 939 (목동),126.879233453873,37.5307279531237,sports
목동종합운동장 목동아이스링크,서울 양천구 안양천로 939 (목동),126.879233453873,37.5307279531237,sports
고척스카이돔,서울 구로구 경인로 430 (고척동),126.867088741096,37.4982125677913,sports
잠실종합운동장 잠실야구장,서울 송파구 올림픽로 25 (잠실동),127.075939572603,37.5161996814031,sports
동천재활체육센터 실내빙상경기장,서울 노원구 노원로18길 41 (하계동),127.072925701873,37.64451235583,sports
목동운동장 주경기장,서울 양천구 안양천로 939 (목동),126.879233453873,37.5307279531237,sports
서울올림픽공원 케이스포돔올림픽체조경기장,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,sports
올림픽공원 SK핸드볼경기장,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,sports
서울월드컵경기장,서울 마포구 월드컵로 240 (성산동),126.897273034482,37.5682884450841,sports
