장소명,주소,경도,위도,분류
TOM,서울 종로구 대학로8가길 85 2층 (동숭동),127.003645489475,37.5822760636383,theater
국립극장 해오름극장,서울 중구 장충단로 59 (장충동2가),126.999267349473,37.5519949082942,theater
일지아트홀,서울 강남구 선릉로 806 킹콩빌딩 지하 2층 (청담동),127.039644664874,37.5238902013841,theater
서울숲씨어터,서울 성동구 서울숲2길 32-14 갤러리아포레 G층 (성수동1가),127.042914714267,37.5456773286722,theater
국립국악원,서울 서초구 남부순환로 2364 (서초동),127.009818464555,37.4777188083482,theater
영산아트홀,서울 영등포구 여의공원로 101 국민일보빌딩 지하2층 (여의도동),126.924892738645,37.5292719570904,theater
영등포아트홀,서울 영등포구 국회대로 596 (당산동3가),126.900109255921,37.5260087284496,theater
예술의전당 CJ토월극장,서울 서초구 남부순환로 2406 (서초동),127.014215239186,37.4802401962069,theater
서울 노들섬라이브하우스,서울 용산구 이촌동 302-146,126.957700951859,37.517883375648,theater
은평문화예술회관,서울 은평구 녹번로 16 (녹번동),126.927901672834,37.6036996869964,theater
오류문화센터,서울 구로구 경인로20가길 38 2층 (오류동),126.846035797544,37.4953581177106,theater
JTN아트홀,서울 종로구 이화장길 26 (이화동),127.00393230387,37.5766441213197,theater
두산아트센터,서울 종로구 종로33길 15 연강빌딩 (연지동),127.00100010537,37.5718123278145,theater
롤링홀,서울 마포구 어울마당로 35 신보빌딩 지하 1층 (서교동),126.920120953258,37.5484975164949,theater
코엑스 D홀,서울 강남구 영동대로 513 3층 (삼성동),127.059159043842,37.5118239121138,theater
노원문화예술회관,서울 노원구 중계로 181 (중계본동),127.080267103033,37.6502368524442,theater
홍익대학교 대학로아트센터 대극장,서울 종로구 대학로 57 (연건동),127.001450046714,37.5765585834389,theater
KT&G 상상마당 대치아트홀,서울 강남구 영동대로 416 KT&G타워 3층 (대치동),127.065326637295,37.5065841136869,theater
틴틴홀,서울 종로구 대학로10길 24 (동숭동),127.003553867265,37.5816004113378,theater
아트포레스트,서울 종로구 대학로12길 22 지하 1층 (동숭동),127.003095618183,37.5824911464931,theater
신한pLay 스퀘어 라이브홀,서울 마포구 양화로 45 메세나폴리스 2층 (서교동),126.91395024016,37.5515008030203,theater
올림픽공원 88잔디마당,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,theater
삼성홀,서울 서대문구 이화여대길 52 이화캠퍼스복합단지(ECC) 내 지하4층 (대현동),126.950288837762,37.5644645178259,theater
블루스퀘어 마스터카드홀,서울 용산구 이태원로 294 (한남동),127.00248525561,37.5408694385607,theater
올림픽공원 우리금융아트홀,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,theater
강동아트센터,서울 강동구 동남로 870 (상일동),127.157342546961,37.5512204558342,theater
국립정동극장,서울 중구 정동길 43 (정동),126.972844434584,37.5659336365406,theater
예술의전당 오페라하우스,서울 서초구 남부순환로 2406 (서초동),127.014215239186,37.4802401962069,theater
충무아트센터 대극장,서울 중구 퇴계로 387 충무아트홀 (흥인동),127.014790889728,37.5659409687669,theater
유니플렉스,서울 종로구 대학로12길 64 (동숭동),127.00362019054,37.5811975750507,theater
드림아트센터,서울 종로구 동숭길 123 (동숭동),127.003293438561,37.5832861777566,theater
코엑스아티움,서울 강남구 삼성동 159-9 5층,127.060276017905,37.510464723037,theater
세종문화회관 대극장,서울 종로구 세종대로 175 (세종로),126.976168275947,37.5718478584908,theater
KBS아레나,서울 강서구 공항대로 376 (화곡동),126.84719334651,37.5568482740514,theater
여의도KBS홀,서울 영등포구 여의공원로 13 (여의도동),126.916716838156,37.5259698897016,theater
예스24스테이지,서울 종로구 대학로12길 21 (동숭동),127.003160727291,37.5827488289051,theater
광림아트센터 BBCH홀,서울 강남구 논현로163길 33 광림사회봉사관 7층 (신사동),127.025579752364,37.5238953464591,theater
롯데콘서트홀,서울 송파구 올림픽로 300 8층 (신천동),127.104446890835,37.5137519612953,theater
국립극장,서울 중구 장충단로 59 (장충동2가),126.999267349473,37.5519949082942,theater
유니버설아트센터,서울 광진구 천호대로 664 (능동),127.087095159462,37.5509798002896,theater
블루스퀘어 신한카드홀,서울 용산구 이태원로 294 (한남동),127.00248525561,37.5408694385607,theater
예스24라이브홀,서울 광진구 구천면로 20 (광장동),127.107967944506,37.5457267681008,theater
롯데월드 샤롯데씨어터,서울 송파구 올림픽로 240 (잠실동),127.098141751177,37.5113096112036,theater
디큐브아트센터,서울 구로구 경인로 662 디큐브시티 7층 (신도림동),126.888212953215,37.5081230677129,theater
블루스퀘어,서울 용산구 이태원로 294 (한남동),127.00248525561,37.5408694385607,theater
충무아트센터,서울 중구 퇴계로 387 (흥인동),127.014790889728,37.5659409687669,theater
한전아트센터,서울 서초구 효령로72길 60 (서초동),127.028078834421,37.4856046634033,theater
세종문화회관,서울 종로구 세종대로 175 (세종로),126.976168275947,37.5718478584908,theater
KT&G상상마당 홍대,서울 마포구 어울마당로 65 (서교동),126.921063042067,37.5509576951977,theater
예술의전당,서울 서초구 남부순환로 2406 (서초동),127.014215239186,37.4802401962069,theater
