장소명,주소,경도,위도,분류
경의선숲길,서울 마포구 동교동 190-1,126.924879359583,37.5594113610101,trail
서울어린이대공원 식물원,서울 광진구 광나루로 441 (능동),127.078304434841,37.5472460029599,trail
서울숲 곤충식물원,서울 성동구 성수동1가 685-715,127.039748913229,37.5414835637494,trail
창경궁 대온실,서울 종로구 창경궁로 185 (와룡동),126.993841430623,37.5776239475981,trail
남산야외식물원,서울 용산구 소월로 323 (이태원2동),126.996940925194,37.5415755386499,trail
푸른수목원,서울 구로구 연동로 240 (항동),126.823669475359,37.4819684351942,trail
서울식물원,서울 강서구 마곡동로 161 (마곡동),126.83284283132,37.5722444079878,trail
인왕산둘레길,서울 종로구 사직동 산 1-25,126.961861831718,37.5782989189374,trail
남산둘레길,서울 중구 회현동1가,126.981204133005,37.5555892070291,trail
광화문광장,서울 종로구 세종로 1-68,126.976901845925,37.5724324798009,trail
북악산 한양도성,서울 성북구 성북동,127.003274531869,37.591046609396,trail
풍납토성,서울 송파구 풍납동 73-1,127.121282775873,37.5383373629027,trail
올림픽공원 몽촌토성,서울 송파구 올림픽로 424 (방이동),127.115517876627,37.5203396980951,trail
이화동 벽화마을,서울 종로구 이화동,127.004338052474,37.5769946840179,trail
개미마을,서울 서대문구 홍제동,126.948725215733,37.5858458009441,trail
돈의문박물관마을,서울 종로구 송월길 14-3 (신문로2가),126.968524936074,37.5688252109493,trail
은평한옥마을,서울 은평구 연서로50길 7-12 (진관동),126.939276163528,37.6414115928214,trail
남산골한옥마을,서울 중구 퇴계로34길 28 (필동2가),126.994738735334,37.5595422700067,trail
북촌한옥마을,서울 종로구 북촌로11길 49 (가회동),126.983403938305,37.5829100635924,trail
서촌한옥마을,서울 종로구 통의동,126.972852824323,37.5780584194585,trail
강풀만화거리,서울 강동구 성내동,127.130026914568,37.5292748071427,trail
해방촌예술마을,서울 용산구 용산동2가,126.982945593811,37.5419195197565,trail
청계천매화거리,서울 성동구 용답동 130,127.048886957463,37.5660583636159,trail
청계천 애완동물거리,서울 종로구 창신동,127.012828195947,37.5752245135613,trail
압구정토끼굴,서울 강남구 압구정동,127.030809170421,37.5306686414269,trail
안산벚꽃길,서울 서대문구 연희동,126.935230751932,37.573910010416,trail
신림동별빛거리,서울 관악구 신림동,126.927123713685,37.4874127684412,trail
연신내로데오거리,서울 은평구 연서로29길 6 (갈현동),126.919582181082,37.6188077691384,trail
신사동가로수길,서울 강남구 압구정로 120 (신사동),127.021902856932,37.5236057825746,trail
노원문화의거리,서울 노원구 상계동 719-1,127.062537891499,37.6547318639412,trail
천호동로데오거리,서울 강동구 천호동,127.12866892591,37.542221863425,trail
경춘선숲길,서울 노원구 공릉동,127.073821318894,37.6248431089169,trail
남산벚꽃길,서울 중구 장충동2가,127.000602078813,37.5550176670288,trail
송리단길,서울 송파구 송파동,127.109579159297,37.5060929206302,trail
삼청동거리,서울 종로구 팔판동 67-1,126.981693296139,37.5823038024789,trail
샤로수길,서울 관악구 봉천동,126.952165181187,37.482538491727,trail
홍대패션거리,서울 마포구 서교동 348-78,126.923144541121,37.554898951641,trail
문래창작촌,서울 영등포구 도림로128가길 13-6 (문래동3가),126.897343926403,37.5142075469895,trail
용리단길,서울 용산구 한강로2가 412,126.971190677288,37.5311075734726,trail
압구정로데오거리,서울 강남구 신사동 668-33,127.038860185038,37.5268153855284,trail
익선동한옥거리,서울 종로구 익선동,126.989694095817,37.5743345779564,trail
이태원거리,서울 용산구 이태원동 119-23,126.994728611603,37.5345511721489,trail
명동거리,서울 중구 명동2가,126.98522714432,37.5628878550789,trail
인사동거리,서울 종로구 관훈동,126.984690612471,37.5741286083153,trail
경리단길,서울 용산구 이태원동 210-5,126.992057670132,37.5399192733791,trail
망리단길,서울 마포구 망원동,126.901347294861,37.5567856576915,trail
인사동 문화의거리,서울 종로구 인사동10길 11-4 (관훈동),126.985723489033,37.5745908579478,trail
경의선책거리,서울 마포구 와우산로35길 50-4 (동교동),126.928391464019,37.5565346774855,trail
